USPS,GEOID,ANSICODE,NAME,LSAD,FUNCSTAT,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                 
AL,100100,2582661,Abanda CDP,57,S,7764034,34284,2.998,0.013,33.091627,-85.527029
AL,100124,2403054,Abbeville city,25,A,40255362,107642,15.543,0.042,31.564724,-85.259123
AL,100460,2403063,Adamsville city,25,A,67895675,540470,26.215,0.209,33.602315,-86.971527
AL,100484,2405123,Addison town,43,A,9753293,83417,3.766,0.032,34.202681,-87.178004
AL,100676,2405125,Akron town,43,A,1776165,13849,0.686,0.005,32.879066,-87.740899
AL,100820,2403069,Alabaster city,25,A,65472841,813078,25.279,0.314,33.244399,-86.847372
AL,100988,2403074,Albertville city,25,A,69770754,258708,26.939,0.1,34.26313,-86.21066
AL,101132,2403077,Alexander City city,25,A,113186307,751905,43.701,0.29,32.92724,-85.937122
AL,101180,2402638,Alexandria CDP,57,S,28840486,27589,11.135,0.011,33.760819,-85.872008
AL,101228,2403080,Aliceville city,25,A,11835209,0,4.57,0,33.123706,-88.159344
AL,101396,2405136,Allgood town,43,A,2690288,1452,1.039,0.001,33.907623,-86.516109
AL,101660,2405146,Altoona town,43,A,11603404,25442,4.48,0.01,34.040014,-86.305179
AL,101708,2403097,Andalusia city,25,A,50911852,405912,19.657,0.157,31.309436,-86.478031
AL,101756,2405149,Anderson town,43,A,3347216,1520,1.292,0.001,34.915675,-87.274274
AL,101852,2403101,Anniston city,25,A,118685613,180468,45.825,0.07,33.673469,-85.810891
AL,102116,2403104,Arab city,25,A,34499247,344544,13.32,0.133,34.332387,-86.501167
AL,102260,2405163,Ardmore town,43,A,5289895,21830,2.042,0.008,34.987838,-86.829022
AL,102320,2405164,Argo town,43,A,27573117,146963,10.646,0.057,33.691018,-86.505281
AL,102428,2405166,Ariton town,43,A,13182489,0,5.09,0,31.597772,-85.713061
AL,102500,2405167,Arley town,43,A,9740146,33989,3.761,0.013,34.076234,-87.217831
AL,102836,2405172,Ashford town,43,A,16064130,56699,6.202,0.022,31.185284,-85.236236
AL,102860,2405173,Ashland town,43,A,19025387,85046,7.346,0.033,33.269892,-85.833706
AL,102908,2403122,Ashville city,25,A,49762931,487106,19.214,0.188,33.835197,-86.270015
AL,102956,2403123,Athens city,25,A,104473221,683500,40.337,0.264,34.779021,-86.950799
AL,103004,2403129,Atmore city,25,A,56622375,194415,21.862,0.075,31.124067,-87.457798
AL,103028,2403130,Attalla city,25,A,18126813,0,6.999,0,33.986189,-86.121037
AL,103076,2403132,Auburn city,25,A,157084761,2663622,60.651,1.028,32.607722,-85.489545
AL,103220,2405187,Autaugaville town,43,A,20286746,530328,7.833,0.205,32.432563,-86.658752
AL,103364,2405191,Avon town,43,A,6120731,16998,2.363,0.007,31.179727,-85.279211
AL,103508,2628577,Axis CDP,57,S,9050926,25663,3.495,0.01,30.922171,-88.02262
AL,103556,2405195,Babbie town,43,A,29709390,302262,11.471,0.117,31.302083,-86.319437
AL,103676,2405198,Baileyton town,43,A,13611429,155195,5.255,0.06,34.260858,-86.608788
AL,103724,2405200,Bakerhill town,43,A,7126271,0,2.751,0,31.776923,-85.295408
AL,103820,2582662,Ballplay CDP,57,S,60997107,485209,23.551,0.187,34.023047,-85.801478
AL,103940,2405206,Banks town,43,A,5145554,0,1.987,0,31.813264,-85.836434
AL,104660,2403825,Bay Minette city,25,A,44707878,198121,17.262,0.076,30.894436,-87.791306
AL,104684,2403828,Bayou La Batre city,25,A,19398410,369464,7.49,0.143,30.407586,-88.263271
AL,104852,2405219,Bear Creek town,43,A,35295458,345560,13.628,0.133,34.255481,-87.713399
AL,104900,2405221,Beatrice town,43,A,3503547,0,1.353,0,31.733309,-87.209046
AL,104948,2405225,Beaverton town,43,A,11882782,0,4.588,0,33.935411,-88.021778
AL,105140,2628578,Belgreen CDP,57,S,3180831,15104,1.228,0.006,34.47454,-87.861678
AL,105164,2405230,Belk town,43,A,3590249,0,1.386,0,33.651641,-87.92861
AL,105188,2628579,Bellamy CDP,57,S,9780480,108299,3.776,0.042,32.463658,-88.131481
AL,105212,2632282,Belle Fontaine CDP,57,S,4022920,939300,1.553,0.363,30.489492,-88.10594
AL,105692,2405243,Benton town,43,A,781978,89459,0.302,0.035,32.307931,-86.817546
