Year Reported to CDP,Account Number,Organization,City,Country,CDP Region,Access,City-wide emissions inventory,Accounting year,Administrative city boundary,Inventory boundary (compared to Administrative city boundary),Primary Protocol,Primary Protocol Comment,Gases Included,Direct emissions (metric tonnes CO2e) for Total generation of grid-supplied energy,Direct emissions (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy),Indirect emissions from use of grid supplied energy (metric tonnes CO2e) for Total generation of grid supplied energy,Indirect emissions from use of grid supplied energy (metric tonnes CO2e) for Total Emissions (excluding generation of grid-supplied energy),Emissions occurring outside city boundary (metric tonnes CO2e) for Total Generation of grid supplied energy,Emissions occurring outside city boundary (metric tonnes CO2e) for Total Emissions (excluding generation of grid-supplied energy),TOTAL Scope 1 Emissions (metric tonnes CO2e),TOTAL Scope 2 emissions (metric tonnes CO2e),TOTAL Scope 3 Emissions,TOTAL BASIC Emissions (GPC),TOTAL BASIC+ Emissions (GPC),Change in emissions,Primary reason for the change in emissions,Land area (in square km),Population,Population Year,City Location,Last update
2021,35874,"City of Phoenix, AZ",Phoenix,United States of America,North America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Larger – covers the whole city and adjoining areas,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CH4, CO2, N20",1391552,8666375,,7383288,,465360,,,,,,Decreased,Technological change,1339,1660272,2018,POINT (-112.074 33.4484),10/04/2021 09:23:47 AM
2021,58626,"City of Racine, WI",,United States of America,North America,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,,,,,,,,,,,,,40.09316,78860,2010,,10/04/2021 09:23:47 AM
2021,49345,"City of Birmingham, AL","Birmingham, AL",United States of America,North America,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,,,,,,,,,,,,,383.86,209403,2019,,10/04/2021 09:23:47 AM
2021,74481,"Town of Acton, MA",,United States of America,North America,public,Yes,2017-01-01 - 2017-12-30,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Global Protocol for Community-Scale Greenhouse Gas Emission Inventories (GPC), U.S. Community Protocol (Community Protocol), and Local Government Operations Protocol (LGOP) were all used to conduct this survey.","CH4, CO2, N20",,,,,,,,,,,,This is our first year of calculation,,51.46,23662,2019,,10/04/2021 09:23:47 AM
2021,14874,"City of Portland, OR","Portland, OR",United States of America,North America,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Larger – covers the whole city and adjoining areas,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),None.,"CH4, CO2, N20",0,5228980.82,,2212449.32,,105912.69,,,,,,Increased,Population increase,1207,812855,2019,POINT (-122.682 45.52),10/04/2021 09:23:47 AM
2021,13067,"City of New Orleans, LA",New Orleans,United States of America,North America,public,Yes,2017-01-01 - 2017-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CH4, CO2, N20",,2187750,,1201674,,,,,,,,Stayed the same,Emissions have not changed,910,390144,2019,POINT (-90.0715 29.9511),10/04/2021 09:23:47 AM
2021,73295,"City of La Crosse, WI",La Crosse,United States of America,North America,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,CO2,,,,,,,,,,,,Increased,Emissions reduction actions not implemented,58.38,51277,2019,POINT (-91.2396 43.8014),10/04/2021 09:23:47 AM
2021,58627,"City of Alton, IL",Alton,United States of America,North America,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,,,,,,,,,,,,,43.9,26581,2015,POINT (-90.1843 38.8906),10/04/2021 09:23:47 AM
2021,55800,"City of Cambridge, MA","Cambridge, MA",United States of America,North America,public,Yes,2012-01-01 - 2012-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CH4, CO2, N20",194907,671622,,455838,,139870,,,,,,This is our first year of calculation,,16.65,116632,2019,POINT (-93.3273 45.601),10/04/2021 09:23:47 AM
2021,74547,"City of Mosier, OR",,United States of America,North America,public,Not intending to undertake,,City / Municipality,,,,,,,,,,,,,,,,,,2.5,450,2019,,10/04/2021 09:23:47 AM
2021,55801,"City of West Palm Beach, FL",West Palm Beach,United States of America,North America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CH4, CO2, N20",469813.11,783518,,667696,,,,,,,,Decreased,Technological change,150.1,116781,2020,POINT (-80.0534 26.7153),10/04/2021 09:23:47 AM
2021,54113,"City of Flagstaff, AZ",Flagstaff,United States of America,North America,public,Yes,2020-01-01 - 2020-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CH4, CO2, N20",0,703439.01,,243940.88,,23075.4,,,,,,Increased,"Other, please specify: We have collected more information and have corrected inaccuracies.",165.42,76338,2020,POINT (-111.631 35.1992),10/04/2021 09:23:47 AM
2021,50550,"City of Buffalo, NY","Buffalo, NY",United States of America,North America,public,In progress,2018-07-01 - 2019-06-30,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Utilizing a GPC-compliant excel-based calculation tool provided by the US Environmental Protection Agency, available here: https://www.epa.gov/statelocalenergy/local-greenhouse-gas-inventory-tool","CH4, CO2, N20",,,,,,,,,,,,,,136,258612,2017,POINT (-78.8784 42.8864),10/04/2021 09:23:47 AM
2021,841964,"City of Hallandale Beach, FL",Hallandale Beach,United States of America,North America,public,Yes,2016-01-01 - 2016-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CH4, CO2, N20",,458941,,1792,,,,,,,,This is our first year of calculation,,11.39,37113,2010,POINT (-80.1484 25.9812),10/04/2021 09:23:47 AM
2021,35862,"City of Detroit, MI",Detroit,United States of America,North America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Also followed USEPA guidance.,"CH4, CO2, N20",395769.55,6850350.55,,3705356.01,,205297.18,,,,,,Decreased,Technological change,359.4,670031,2019,POINT (-83.0457 42.3314),10/04/2021 09:23:47 AM
2021,54102,"City of Albany, NY",Albany,United States of America,North America,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,"CH4, CO2, HFCs, N20, PFCs, SF6",,1000191,,,,,,,,,,,,56,97856,2010,POINT (-73.7562 42.6526),10/04/2021 09:23:47 AM
2021,862760,"City of Oxford, OH",,United States of America,North America,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CH4, CO2, N20",,,,,,,,,,,,,,17.3,22885,2018,,10/04/2021 09:23:47 AM
2021,55799,"Arlington, VA",Arlington,United States of America,North America,public,Intending to undertake in the next 2 years,,Province / County,,,,,,,,,,,,,,,,,,67.34,226400,2019,POINT (-76.0026 37.2265),10/04/2021 09:23:47 AM
2021,49347,"City of Omaha, NE",Omaha,United States of America,North America,public,Yes,2009-01-01 - 2009-12-31,City / Municipality,Same – covers entire city and nothing else,"Other, please specify: ICLEI - IEAP","The inventory draws on well reviewed and accepted methodologies from ICLEI - Local Governments for Sustainability's International Local Government Greenhouse Gas Protocol (IEAP), The Climate Registry (TCR), the World Resources Institute (WRI), the Intergovernmental Panel on Climate Change (IPCC), and the U.S. Environmental Protection Agency (EPA). The IEAP is used as the main protocol reference as it provides guidelines specific to quantifying GHG emissions from city internal operations and whole communities within the geopolitical boundary of a city's jurisdiction. Using the IEAP guidance also allows Omaha to compare its GHG emissions to similar communities that have also followed IEAP protocol.","CH4, CO2, N20",,,,,,,,,,,,Do not know,Lack of documentation,387.4,475862,2019,,10/04/2021 09:23:47 AM
2021,31108,"City of Houston, TX",Houston,United States of America,North America,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CH4, CO2, N20",772360,19811166,,12884021,,587012,,,,,,Decreased,"Other, please specify: Decrease in stationary emissions",1737.88,2320268,2019,POINT (-95.3694 29.7602),10/04/2021 09:23:47 AM
2021,59535,"Town of Vail, CO",Vail,United States of America,North America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Larger – covers the whole city and adjoining areas,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),The Town of Vail utilized the standards established in the GPC  when conducting its first ever city-wide greenhouse gas inventory. The Town utilized the ICLEI ClearPath tool when creating the GHG inventory.,"CH4, CO2, N20",,,,,,,,,,,,This is our first year of calculation,Lack of resource / funding overcome,12.1,5434,2019,POINT (-106.374 39.6403),10/04/2021 09:23:47 AM
2021,43905,"City of San Antonio, TX",San Antonio,United States of America,North America,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,"CH4, CO2, N20, NF3, SF6",6436003,17455242,,,,,,,,,,Decreased,Technological change,1204.3,1547253,2019,POINT (-98.4936 29.4241),10/04/2021 09:23:47 AM
2021,54114,"City of Asheville, NC",Asheville,United States of America,North America,public,In progress,2019-01-01 - 2019-12-31,City / Municipality,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,"CH4, CO2, N20",,,,,,,,,,,,,,117,92870,2019,POINT (-82.5515 35.5951),10/04/2021 09:23:47 AM
2021,74531,"Santa Fe County, NM",Santa Fe County,United States of America,North America,public,In progress,2019-01-01 - 2019-12-31,Province / County,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,"CH4, CO2, N20",,,,,,,,,,,,,,4950,150358,2019,POINT (-106 35.5),10/04/2021 09:23:47 AM
