"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B08141_001E","Estimate!!Total:"
"B08141_001M","Margin of Error!!Total:"
"B08141_001MA","Annotation of Margin of Error!!Total:"
"B08141_001EA","Annotation of Estimate!!Total:"
"B08141_002E","Estimate!!Total:!!No vehicle available"
"B08141_002M","Margin of Error!!Total:!!No vehicle available"
"B08141_002MA","Annotation of Margin of Error!!Total:!!No vehicle available"
"B08141_002EA","Annotation of Estimate!!Total:!!No vehicle available"
"B08141_003E","Estimate!!Total:!!1 vehicle available"
"B08141_003M","Margin of Error!!Total:!!1 vehicle available"
"B08141_003MA","Annotation of Margin of Error!!Total:!!1 vehicle available"
"B08141_003EA","Annotation of Estimate!!Total:!!1 vehicle available"
"B08141_004E","Estimate!!Total:!!2 vehicles available"
"B08141_004M","Margin of Error!!Total:!!2 vehicles available"
"B08141_004MA","Annotation of Margin of Error!!Total:!!2 vehicles available"
"B08141_004EA","Annotation of Estimate!!Total:!!2 vehicles available"
"B08141_005E","Estimate!!Total:!!3 or more vehicles available"
"B08141_005EA","Annotation of Estimate!!Total:!!3 or more vehicles available"
"B08141_005M","Margin of Error!!Total:!!3 or more vehicles available"
"B08141_005MA","Annotation of Margin of Error!!Total:!!3 or more vehicles available"
"B08141_006E","Estimate!!Total:!!Car, truck, or van - drove alone:"
"B08141_006M","Margin of Error!!Total:!!Car, truck, or van - drove alone:"
"B08141_006MA","Annotation of Margin of Error!!Total:!!Car, truck, or van - drove alone:"
"B08141_006EA","Annotation of Estimate!!Total:!!Car, truck, or van - drove alone:"
"B08141_007E","Estimate!!Total:!!Car, truck, or van - drove alone:!!No vehicle available"
"B08141_007M","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!No vehicle available"
"B08141_007MA","Annotation of Margin of Error!!Total:!!Car, truck, or van - drove alone:!!No vehicle available"
"B08141_007EA","Annotation of Estimate!!Total:!!Car, truck, or van - drove alone:!!No vehicle available"
"B08141_008E","Estimate!!Total:!!Car, truck, or van - drove alone:!!1 vehicle available"
"B08141_008M","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!1 vehicle available"
"B08141_008MA","Annotation of Margin of Error!!Total:!!Car, truck, or van - drove alone:!!1 vehicle available"
"B08141_008EA","Annotation of Estimate!!Total:!!Car, truck, or van - drove alone:!!1 vehicle available"
"B08141_009E","Estimate!!Total:!!Car, truck, or van - drove alone:!!2 vehicles available"
"B08141_009M","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!2 vehicles available"
"B08141_009MA","Annotation of Margin of Error!!Total:!!Car, truck, or van - drove alone:!!2 vehicles available"
"B08141_009EA","Annotation of Estimate!!Total:!!Car, truck, or van - drove alone:!!2 vehicles available"
"B08141_010E","Estimate!!Total:!!Car, truck, or van - drove alone:!!3 or more vehicles available"
"B08141_010M","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!3 or more vehicles available"
"B08141_010MA","Annotation of Margin of Error!!Total:!!Car, truck, or van - drove alone:!!3 or more vehicles available"
"B08141_010EA","Annotation of Estimate!!Total:!!Car, truck, or van - drove alone:!!3 or more vehicles available"
"B08141_011E","Estimate!!Total:!!Car, truck, or van - carpooled:"
"B08141_011M","Margin of Error!!Total:!!Car, truck, or van - carpooled:"
"B08141_011MA","Annotation of Margin of Error!!Total:!!Car, truck, or van - carpooled:"
"B08141_011EA","Annotation of Estimate!!Total:!!Car, truck, or van - carpooled:"
"B08141_012E","Estimate!!Total:!!Car, truck, or van - carpooled:!!No vehicle available"
"B08141_012M","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!No vehicle available"
"B08141_012MA","Annotation of Margin of Error!!Total:!!Car, truck, or van - carpooled:!!No vehicle available"
"B08141_012EA","Annotation of Estimate!!Total:!!Car, truck, or van - carpooled:!!No vehicle available"
"B08141_013E","Estimate!!Total:!!Car, truck, or van - carpooled:!!1 vehicle available"
"B08141_013M","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!1 vehicle available"
"B08141_013MA","Annotation of Margin of Error!!Total:!!Car, truck, or van - carpooled:!!1 vehicle available"
"B08141_013EA","Annotation of Estimate!!Total:!!Car, truck, or van - carpooled:!!1 vehicle available"
