,Civilian labor force,,,,Unemployed,,,,,,,
,,,,,Number,,,,Percent of labor force,,,
State and Area,Oct-21,Aug-22,Sep-22,Oct-22,Oct-21,Aug-22,Sep-22,Oct-22,Oct-21,Aug-22,Sep-22,Oct-22
Alabama,"2,241,442","2,293,693","2,294,660","2,294,866","70,569","58,913","59,520","61,760",3.1,2.6,2.6,2.7
Alaska,"358,558","361,918","360,657","360,581","20,483","16,661","15,858","16,298",5.7,4.6,4.4,4.5
Arizona,"3,530,300","3,595,506","3,607,213","3,616,729","138,869","125,050","133,480","142,616",3.9,3.5,3.7,3.9
Arkansas,"1,331,746","1,354,290","1,353,668","1,353,179","44,895","45,636","47,426","48,526",3.4,3.4,3.5,3.6
California,"19,024,355","19,348,044","19,284,590","19,279,503","1,163,543","783,822","741,226","776,609",6.1,4.1,3.8,4
Los Angeles-Long Beach-Glendale(1),"4,995,042","5,047,152","4,998,237","4,978,621","363,860","260,585","235,531","244,745",7.3,5.2,4.7,4.9
Colorado,"3,169,784","3,257,886","3,254,981","3,256,853","143,451","111,878","109,591","116,421",4.5,3.4,3.4,3.6
Connecticut,"1,860,534","1,905,529","1,903,495","1,903,814","100,931","77,702","76,864","81,406",5.4,4.1,4,4.3
Delaware,"496,684","500,666","500,137","499,997","24,276","22,331","21,281","21,679",4.9,4.5,4.3,4.3
District of Columbia,"385,285","385,046","382,168","380,214","24,203","19,816","18,048","18,274",6.3,5.1,4.7,4.8
Florida,"10,415,801","10,705,514","10,713,511","10,750,153","386,198","292,609","266,160","285,404",3.7,2.7,2.5,2.7
Miami-Miami Beach-Kendall(1),"1,318,132","1,334,820","1,327,526","1,329,847","52,286","31,687","27,034","28,867",4,2.4,2,2.2
Georgia,"5,200,059","5,278,849","5,274,491","5,268,918","176,436","149,654","148,170","152,124",3.4,2.8,2.8,2.9
Hawaii,"672,416","678,994","676,762","676,913","31,454","27,354","23,518","22,854",4.7,4,3.5,3.4
Idaho,"921,775","956,796","959,727","961,441","29,748","25,697","26,914","28,173",3.2,2.7,2.8,2.9
Illinois,"6,343,551","6,458,390","6,447,007","6,435,982","334,540","290,027","290,538","298,154",5.3,4.5,4.5,4.6
Chicago-Naperville-Arlington Heights(1),"3,739,670","3,803,202","3,797,577","3,794,666","205,140","163,192","167,832","173,037",5.5,4.3,4.4,4.6
Indiana,"3,299,997","3,401,743","3,401,059","3,397,335","92,565","95,218","96,847","100,416",2.8,2.8,2.8,3
Iowa,"1,677,109","1,709,545","1,709,769","1,712,027","66,317","44,698","46,488","49,670",4,2.6,2.7,2.9
Kansas,"1,495,332","1,501,107","1,499,426","1,499,038","42,893","38,170","39,480","41,341",2.9,2.5,2.6,2.8
Kentucky,"2,049,746","2,062,996","2,062,061","2,060,078","95,235","78,292","78,178","80,171",4.6,3.8,3.8,3.9
Louisiana,"2,058,294","2,096,105","2,089,870","2,083,847","95,705","73,895","70,285","68,039",4.6,3.5,3.4,3.3
Maine,"679,766","676,897","675,576","674,707","29,900","21,092","22,127","24,546",4.4,3.1,3.3,3.6
Maryland,"3,197,771","3,226,267","3,211,994","3,220,504","183,129","138,107","128,311","144,841",5.7,4.3,4,4.5
Massachusetts,"3,759,342","3,762,959","3,749,608","3,745,772","187,944","134,742","128,983","131,297",5,3.6,3.4,3.5
Michigan,"4,791,888","4,858,848","4,860,950","4,854,884","256,466","200,680","200,798","205,145",5.4,4.1,4.1,4.2
Detroit-Warren-Dearborn(2),"2,127,561","2,124,585","2,118,734","2,114,219","118,667","81,587","77,405","76,490",5.6,3.8,3.7,3.6
Minnesota,"3,030,169","3,082,333","3,077,830","3,073,111","94,673","58,258","61,675","65,873",3.1,1.9,2,2.1
Mississippi,"1,249,556","1,265,752","1,263,162","1,259,972","59,051","45,237","45,922","47,275",4.7,3.6,3.6,3.8
Missouri,"3,066,928","3,051,614","3,053,598","3,055,911","121,577","76,156","74,534","78,871",4,2.5,2.4,2.6
Montana,"553,662","567,249","568,014","568,246","16,679","15,868","16,405","16,894",3,2.8,2.9,3
Nebraska,"1,054,654","1,063,182","1,063,514","1,063,281","25,329","22,363","23,641","25,167",2.4,2.1,2.2,2.4
Nevada,"1,490,463","1,527,090","1,536,911","1,546,669","80,022","66,464","67,282","71,303",5.4,4.4,4.4,4.6
New Hampshire,"754,359","769,176","770,755","772,000","23,325","15,542","16,601","18,343",3.1,2,2.2,2.4
New Jersey,"4,646,759","4,693,253","4,675,993","4,699,944","254,691","188,221","154,119","162,949",5.5,4,3.3,3.5
New Mexico,"943,509","946,604","943,696","941,610","57,436","41,821","40,031","40,166",6.1,4.4,4.2,4.3
New York,"9,385,787","9,542,654","9,504,907","9,519,932","534,575","445,097","404,637","415,014",5.7,4.7,4.3,4.4
New York City,"4,003,121","4,026,524","3,980,700","3,988,109","316,844","266,063","222,037","234,098",7.9,6.6,5.6,5.9
North Carolina,"4,997,228","5,124,349","5,128,100","5,127,734","217,971","179,521","184,181","194,125",4.4,3.5,3.6,3.8
North Dakota,"406,219","408,906","407,719","407,135","12,828","9,277","9,109","9,234",3.2,2.3,2.2,2.3
Ohio,"5,739,102","5,787,036","5,777,872","5,761,370","260,693","228,949","231,923","241,608",4.5,4,4,4.2
Cleveland-Elyria(2),"1,020,358","1,028,579","1,033,316","1,035,384","55,386","53,462","52,464","53,242",5.4,5.2,5.1,5.1
Oklahoma,"1,848,267","1,882,148","1,881,084","1,880,651","53,566","57,484","60,476","63,546",2.9,3.1,3.2,3.4
Oregon,"2,153,888","2,206,930","2,202,611","2,201,840","94,565","81,977","83,647","90,253",4.4,3.7,3.8,4.1
Pennsylvania,"6,365,045","6,447,729","6,448,444","6,450,468","356,693","272,464","263,528","257,630",5.6,4.2,4.1,4
Rhode Island,"571,546","575,093","576,830","577,590","28,565","16,348","17,683","19,514",5,2.8,3.1,3.4
South Carolina,"2,370,730","2,394,720","2,391,226","2,386,416","86,523","74,521","75,404","78,578",3.6,3.1,3.2,3.3
South Dakota,"470,035","478,380","478,143","477,796","13,979","11,000","11,095","11,346",3,2.3,2.3,2.4
Tennessee,"3,338,298","3,399,015","3,385,971","3,368,280","122,075","114,679","114,437","116,560",3.7,3.4,3.4,3.5
Texas,"14,295,547","14,595,814","14,583,680","14,592,351","714,152","594,584","580,603","589,440",5,4.1,4,4
Utah,"1,691,653","1,735,513","1,738,346","1,740,785","39,747","35,505","36,162","37,298",2.3,2,2.1,2.1
Vermont,"328,586","336,176","336,490","336,418","10,196","6,995","7,206","7,728",3.1,2.1,2.1,2.3
Virginia,"4,261,352","4,346,828","4,346,910","4,348,072","142,841","114,105","113,216","116,881",3.4,2.6,2.6,2.7
Washington,"3,947,637","4,020,402","4,012,023","4,008,108","182,238","149,242","149,900","153,719",4.6,3.7,3.7,3.8
Seattle-Bellevue-Everett(1),"1,725,706","1,779,076","1,777,771","1,777,127","63,531","46,206","47,443","49,816",3.7,2.6,2.7,2.8
West Virginia,"791,877","796,918","795,828","794,480","34,432","30,979","31,513","32,160",4.3,3.9,4,4
Wisconsin,"3,134,799","3,125,558","3,113,798","3,098,224","99,284","96,263","99,886","102,065",3.2,3.1,3.2,3.3
Wyoming,"289,766","289,642","289,358","289,257","11,678","9,071","9,484","10,044",4,3.1,3.3,3.5
Puerto Rico,"1,202,897","1,181,524",-,-,"90,743","68,753",-,-,7.5,5.8,-,-
,,,,,,,,,,,,
,,,,,,,,,,,,
Source: https://www.bls.gov/news.release/laus.t01.htm,,,,,,,,,,,,
"Table 1. Civilian labor force and unemployment by state and selected area, seasonally adjusted",,,,,,,,,,,,
