"state","deaths","fatalCrashes","deathsPer100MillionMiles","vehicleMiles"
"Texas","3642","3305","1.2900","282037"
"California","3563","3259","1.0200","348796"
"Florida","3133","2915","1.4100","221816"
"Georgia","1504","1407","1.1400","131456"
"North Carolina","1437","1321","1.1900","121127"
"Pennsylvania","1190","1103","1.1700","102109"
"Ohio","1068","996","0.9300","114474"
"Tennessee","1041","974","1.2800","81321"
"South Carolina","1037","970","1.8300","56801"
"Illinois","1031","948","0.9600","107954"
"Arizona","1010","916","1.5300","66145"
"Michigan","974","905","0.9500","102398"
"New York","943","889","0.7600","123510"
"Alabama","953","876","1.3400","71167"
"Missouri","921","848","1.2000","76595"
"Virginia","820","778","0.9600","85336"
"Indiana","858","774","1.0500","81529"
"Louisiana","768","716","1.5300","50045"
"Kentucky","724","664","1.4600","49544"
"Oklahoma","655","603","1.4400","45433"
"Mississippi","664","597","1.6300","40730"
"Colorado","632","588","1.1700","53954"
"Wisconsin","588","530","0.8900","65885"
"New Jersey","564","525","0.7300","77539"
"Washington","546","497","0.8800","62367"
"Maryland","501","474","0.8400","59775"
"Arkansas","516","472","1.4100","36675"
"Oregon","506","450","1.3700","36848"
"Kansas","404","366","1.2600","32190"
"New Mexico","391","350","1.4300","27288"
"Minnesota","381","349","0.6300","60438"
"Massachusetts","360","343","0.5400","66772"
"Nevada","330","300","1.1700","28319"
"Iowa","318","291","0.9600","33282"
"Connecticut","294","276","0.9300","31596"
"West Virginia","294","265","1.5100","19447"
"Utah","260","237","0.8100","32069"
"Idaho","231","212","1.3000","17709"
"Nebraska","230","201","1.1000","20975"
"Montana","182","168","1.4300","12700"
"New Hampshire","147","134","1.0700","13776"
"Maine","137","128","0.9300","14784"
"Hawaii","117","110","1.0700","10887"
"South Dakota","130","110","1.3400","9719"
"Delaware","111","104","1.0900","10179"
"Wyoming","111","100","1.0600","10438"
"North Dakota","105","95","1.0700","9856"
"Alaska","80","69","1.4600","5487"
"Vermont","68","60","0.9300","7346"
"Rhode Island","59","56","0.7400","8009"
