city,state,violent_crime,property_crime
Hoover,Alabama,114.0,1922.0
1 Limited data for 2019 were available for Alabama.,Alabama,,
2 The figure shown in this column for the offense of rape were reported using only the revised Uniform Crime Reporting definition of rape. See the data declaration for further explanation. ,Alabama,,
Apache Junction3,Arizona,95.0,
Avondale,Arizona,251.0,3095.0
Buckeye,Arizona,107.0,1265.0
Bullhead City,Arizona,129.0,1352.0
Camp Verde,Arizona,46.0,265.0
Casa Grande4,Arizona,274.0,1336.0
Chandler,Arizona,593.0,5382.0
Chino Valley,Arizona,37.0,154.0
Clarkdale,Arizona,3.0,44.0
Coolidge4,Arizona,70.0,393.0
Cottonwood,Arizona,45.0,422.0
Douglas,Arizona,10.0,594.0
Eagar4,Arizona,11.0,21.0
El Mirage,Arizona,84.0,982.0
Flagstaff,Arizona,367.0,2371.0
Florence,Arizona,44.0,74.0
Fredonia,Arizona,1.0,13.0
Gilbert,Arizona,245.0,3050.0
Glendale,Arizona,863.0,8083.0
Globe,Arizona,134.0,525.0
Goodyear,Arizona,172.0,2045.0
Hayden,Arizona,8.0,35.0
Holbrook,Arizona,39.0,324.0
Huachuca City,Arizona,6.0,20.0
Jerome,Arizona,1.0,19.0
Kearny,Arizona,1.0,14.0
Kingman,Arizona,100.0,1342.0
Lake Havasu City,Arizona,87.0,670.0
Mammoth,Arizona,3.0,14.0
Marana,Arizona,35.0,1132.0
Maricopa,Arizona,85.0,604.0
Mesa,Arizona,1953.0,9683.0
Miami,Arizona,27.0,31.0
Nogales,Arizona,41.0,608.0
Oro Valley,Arizona,22.0,588.0
Page,Arizona,126.0,537.0
Paradise Valley,Arizona,10.0,161.0
Parker,Arizona,2.0,81.0
Payson,Arizona,59.0,288.0
Peoria,Arizona,407.0,3273.0
Phoenix,Arizona,11803.0,55974.0
Pima,Arizona,0.0,36.0
Pinetop-Lakeside,Arizona,21.0,143.0
Prescott,Arizona,214.0,684.0
Prescott Valley,Arizona,93.0,474.0
Safford,Arizona,21.0,363.0
Sahuarita,Arizona,43.0,345.0
San Luis4,Arizona,33.0,420.0
Scottsdale,Arizona,415.0,5099.0
Show Low,Arizona,59.0,332.0
Sierra Vista,Arizona,116.0,987.0
Snowflake-Taylor,Arizona,53.0,151.0
Somerton4,Arizona,36.0,129.0
Springerville,Arizona,0.0,11.0
St. Johns,Arizona,12.0,59.0
Surprise,Arizona,138.0,2083.0
Tempe,Arizona,889.0,7420.0
Thatcher,Arizona,3.0,112.0
Tolleson,Arizona,68.0,666.0
Tucson,Arizona,3775.0,17943.0
Wellton,Arizona,5.0,31.0
Wickenburg,Arizona,17.0,148.0
Willcox,Arizona,7.0,127.0
Williams,Arizona,26.0,66.0
Winslow,Arizona,126.0,445.0
Yuma,Arizona,376.0,2302.0
1 The figures shown in this column for the offense of rape were reported using only the revised Uniform Crime Reporting definition of rape. See the data declaration for further explanation. ,Arizona,,
2 The FBI does not publish arson data unless it receives data from either the agency or the state for all 12 months of the calendar year.,Arizona,,
"3 The FBI determined that the agency's data were overreported. Consequently, those data are not included in this table.",Arizona,,
"4 Because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data.",Arizona,,
Alexander,Arkansas,15.0,73.0
Alma,Arkansas,35.0,228.0
Altus,Arkansas,0.0,22.0
Amity,Arkansas,1.0,2.0
Ashdown,Arkansas,13.0,102.0
Ash Flat,Arkansas,5.0,40.0
Atkins,Arkansas,11.0,76.0
Augusta,Arkansas,12.0,31.0
Austin,Arkansas,4.0,21.0
Bald Knob,Arkansas,23.0,118.0
Barling,Arkansas,28.0,75.0
Batesville,Arkansas,29.0,262.0
Bay,Arkansas,3.0,24.0
Bearden,Arkansas,1.0,7.0
Beebe,Arkansas,23.0,273.0
Bella Vista,Arkansas,49.0,188.0
Benton,Arkansas,212.0,1328.0
Bentonville,Arkansas,119.0,734.0
Berryville,Arkansas,25.0,193.0
Bethel Heights,Arkansas,4.0,18.0
Blytheville,Arkansas,109.0,629.0
Bono,Arkansas,6.0,28.0
Booneville,Arkansas,17.0,107.0
Bradford,Arkansas,2.0,8.0
Brinkley,Arkansas,29.0,80.0
Brookland,Arkansas,7.0,60.0
Bryant,Arkansas,32.0,888.0
Bull Shoals,Arkansas,2.0,21.0
Cabot,Arkansas,100.0,371.0
Caddo Valley,Arkansas,1.0,34.0
Camden,Arkansas,113.0,373.0
Cammack Village,Arkansas,0.0,14.0
Carlisle,Arkansas,4.0,51.0
Cave Springs,Arkansas,3.0,20.0
Cedarville,Arkansas,10.0,19.0
Centerton,Arkansas,53.0,139.0
Charleston,Arkansas,7.0,24.0
Cherokee Village,Arkansas,10.0,78.0
Cherry Valley,Arkansas,1.0,8.0
Clarksville,Arkansas,29.0,240.0
Clinton,Arkansas,8.0,113.0
Conway,Arkansas,324.0,1842.0
Corning,Arkansas,10.0,41.0
Cotter,Arkansas,3.0,17.0
Crossett,Arkansas,30.0,187.0
Damascus,Arkansas,0.0,4.0
Dardanelle,Arkansas,28.0,114.0
Decatur,Arkansas,17.0,46.0
De Queen,Arkansas,33.0,172.0
Des Arc,Arkansas,8.0,20.0
DeWitt,Arkansas,28.0,84.0
Diaz,Arkansas,1.0,14.0
Dover,Arkansas,8.0,30.0
Dumas,Arkansas,15.0,33.0
Earle,Arkansas,15.0,46.0
El Dorado,Arkansas,239.0,996.0
Elkins,Arkansas,24.0,27.0
England,Arkansas,21.0,87.0
Etowah,Arkansas,0.0,4.0
Eudora,Arkansas,4.0,32.0
Eureka Springs,Arkansas,22.0,95.0
Fairfield Bay,Arkansas,10.0,40.0
Farmington,Arkansas,33.0,67.0
Fayetteville,Arkansas,396.0,3966.0
Flippin,Arkansas,5.0,61.0
Fordyce,Arkansas,42.0,213.0
Forrest City,Arkansas,129.0,668.0
Fort Smith,Arkansas,863.0,5127.0
Gassville,Arkansas,9.0,51.0
Gentry,Arkansas,15.0,21.0
Glenwood,Arkansas,2.0,24.0
Gosnell,Arkansas,14.0,46.0
Gravette,Arkansas,14.0,77.0
Greenbrier,Arkansas,10.0,16.0
Green Forest,Arkansas,18.0,66.0
Greenland,Arkansas,6.0,15.0
Greenwood,Arkansas,23.0,36.0
Gurdon,Arkansas,19.0,32.0
Hamburg,Arkansas,18.0,16.0
Harrisburg,Arkansas,18.0,37.0
Harrison,Arkansas,50.0,350.0
Haskell,Arkansas,16.0,75.0
Hazen,Arkansas,5.0,26.0
Heber Springs,Arkansas,24.0,231.0
Helena-West Helena,Arkansas,187.0,578.0
Highland,Arkansas,4.0,17.0
Hope,Arkansas,70.0,396.0
Hot Springs,Arkansas,241.0,2674.0
Hoxie,Arkansas,5.0,24.0
Jacksonville,Arkansas,271.0,1484.0
Jericho,Arkansas,0.0,0.0
Johnson,Arkansas,6.0,85.0
Jonesboro,Arkansas,537.0,2982.0
Judsonia,Arkansas,12.0,29.0
Kensett,Arkansas,7.0,18.0
Lake City,Arkansas,4.0,19.0
Lakeview,Arkansas,4.0,12.0
Lake Village,Arkansas,20.0,68.0
Lamar,Arkansas,0.0,25.0
Lincoln,Arkansas,9.0,51.0
Little Flock,Arkansas,10.0,35.0
Little Rock,Arkansas,3009.0,12145.0
Lonoke,Arkansas,22.0,127.0
Lowell,Arkansas,28.0,117.0
Luxora,Arkansas,1.0,3.0
Madison,Arkansas,3.0,5.0
Magnolia,Arkansas,14.0,295.0
Marianna,Arkansas,28.0,154.0
Marion,Arkansas,122.0,379.0
Marked Tree,Arkansas,17.0,50.0
Marmaduke,Arkansas,6.0,47.0
Marshall,Arkansas,3.0,12.0
Maumelle,Arkansas,28.0,301.0
Mayflower,Arkansas,10.0,66.0
McCrory,Arkansas,11.0,33.0
McGehee,Arkansas,31.0,95.0
McRae,Arkansas,1.0,4.0
Mena,Arkansas,3.0,223.0
Menifee,Arkansas,0.0,2.0
Mineral Springs,Arkansas,1.0,13.0
Monette,Arkansas,1.0,22.0
Monticello,Arkansas,38.0,289.0
Morrilton,Arkansas,26.0,240.0
Mountainburg,Arkansas,7.0,28.0
Mountain Home,Arkansas,32.0,486.0
Mountain View,Arkansas,9.0,99.0
Mulberry,Arkansas,14.0,61.0
Murfreesboro,Arkansas,4.0,12.0
Nashville,Arkansas,27.0,130.0
Newport,Arkansas,92.0,369.0
Norfork,Arkansas,0.0,1.0
North Little Rock,Arkansas,562.0,2479.0
Osceola,Arkansas,172.0,316.0
Ozark,Arkansas,29.0,86.0
Paragould,Arkansas,307.0,1378.0
Paris,Arkansas,22.0,94.0
Pea Ridge,Arkansas,24.0,69.0
Perryville,Arkansas,3.0,29.0
Piggott,Arkansas,17.0,52.0
Pine Bluff2,Arkansas,644.0,
Plumerville,Arkansas,0.0,11.0
Pocahontas,Arkansas,43.0,216.0
Pottsville,Arkansas,13.0,18.0
Prairie Grove,Arkansas,16.0,134.0
Prescott2,Arkansas,6.0,
Quitman,Arkansas,2.0,22.0
Ravenden,Arkansas,2.0,5.0
Redfield,Arkansas,4.0,23.0
Rogers,Arkansas,330.0,1968.0
Rose Bud,Arkansas,0.0,11.0
Russellville,Arkansas,140.0,897.0
Salem,Arkansas,2.0,15.0
Searcy,Arkansas,199.0,1042.0
Shannon Hills,Arkansas,17.0,62.0
Sheridan2,Arkansas,14.0,
Sherwood,Arkansas,195.0,928.0
Siloam Springs,Arkansas,70.0,458.0
Star City,Arkansas,17.0,48.0
St. Charles,Arkansas,0.0,3.0
Stuttgart,Arkansas,101.0,302.0
Sulphur Springs,Arkansas,10.0,7.0
Swifton,Arkansas,1.0,7.0
Texarkana,Arkansas,183.0,1130.0
Trumann,Arkansas,41.0,321.0
Tuckerman,Arkansas,9.0,34.0
Van Buren,Arkansas,117.0,752.0
Vilonia,Arkansas,5.0,55.0
Waldron,Arkansas,15.0,112.0
Walnut Ridge,Arkansas,11.0,69.0
Ward,Arkansas,64.0,103.0
Warren,Arkansas,24.0,146.0
Weiner,Arkansas,4.0,12.0
West Fork,Arkansas,5.0,34.0
West Memphis,Arkansas,485.0,1225.0
White Hall,Arkansas,5.0,69.0
Wilson,Arkansas,0.0,12.0
Wynne,Arkansas,79.0,292.0
1 The figures shown in this column for the offense of rape were reported using only the revised Uniform Crime Reporting definition of rape. See the data declaration for further explanation. ,Arkansas,,
"2 The FBI determined that the agency's data were overreported. Consequently, those data are not included in this table.",Arkansas,,
Adelanto,California,276.0,459.0
Agoura Hills,California,21.0,306.0
Alameda,California,162.0,2579.0
Albany,California,40.0,685.0
Alhambra,California,161.0,1749.0
Aliso Viejo,California,27.0,433.0
Alturas,California,10.0,30.0
American Canyon,California,53.0,454.0
Anaheim,California,1120.0,8258.0
Anderson,California,61.0,363.0
Angels Camp,California,6.0,74.0
Antioch,California,648.0,3199.0
Apple Valley,California,339.0,1105.0
Arcadia,California,84.0,1348.0
Arcata,California,72.0,605.0
Arroyo Grande,California,27.0,275.0
Artesia,California,72.0,284.0
Arvin,California,196.0,437.0
Atascadero,California,65.0,493.0
Atherton,California,12.0,110.0
Atwater,California,206.0,1031.0
Auburn,California,50.0,237.0
Avalon,California,10.0,40.0
Avenal,California,69.0,58.0
Azusa,California,144.0,959.0
Bakersfield,California,1766.0,16074.0
Baldwin Park,California,188.0,1110.0
Banning,California,136.0,532.0
Barstow,California,274.0,986.0
Bear Valley,California,11.0,44.0
Beaumont,California,92.0,922.0
Bell,California,168.0,441.0
Bellflower,California,327.0,1506.0
Bell Gardens,California,147.0,630.0
Belmont,California,45.0,392.0
Belvedere,California,1.0,15.0
Benicia,California,16.0,377.0
Berkeley,California,618.0,6256.0
Beverly Hills,California,103.0,1499.0
Big Bear,California,76.0,135.0
Biggs,California,3.0,17.0
Bishop,California,34.0,183.0
Blythe,California,92.0,644.0
Bradbury,California,1.0,10.0
Brawley,California,121.0,618.0
Brea,California,72.0,1450.0
Brentwood,California,166.0,1335.0
Brisbane,California,10.0,137.0
Broadmoor,California,11.0,82.0
Buellton,California,3.0,54.0
Buena Park,California,246.0,2061.0
Burbank,California,189.0,2617.0
Burlingame,California,74.0,1185.0
Calabasas,California,35.0,331.0
Calexico,California,94.0,894.0
California City,California,83.0,281.0
Calimesa,California,22.0,280.0
Calistoga,California,6.0,70.0
Camarillo,California,58.0,817.0
Campbell,California,89.0,1357.0
