"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"P2_001N"," !!Total:"
"P2_001NA","Annotation of  !!Total:"
"P2_002N"," !!Total:!!Hispanic or Latino"
"P2_002NA","Annotation of  !!Total:!!Hispanic or Latino"
"P2_003N"," !!Total:!!Not Hispanic or Latino:"
"P2_003NA","Annotation of  !!Total:!!Not Hispanic or Latino:"
"P2_004N"," !!Total:!!Not Hispanic or Latino:!!Population of one race:"
"P2_004NA","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of one race:"
"P2_005N"," !!Total:!!Not Hispanic or Latino:!!Population of one race:!!White alone"
"P2_005NA","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of one race:!!White alone"
"P2_006N"," !!Total:!!Not Hispanic or Latino:!!Population of one race:!!Black or African American alone"
"P2_006NA","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of one race:!!Black or African American alone"
"P2_007N"," !!Total:!!Not Hispanic or Latino:!!Population of one race:!!American Indian and Alaska Native alone"
"P2_007NA","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of one race:!!American Indian and Alaska Native alone"
"P2_008N"," !!Total:!!Not Hispanic or Latino:!!Population of one race:!!Asian alone"
"P2_008NA","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of one race:!!Asian alone"
"P2_009N"," !!Total:!!Not Hispanic or Latino:!!Population of one race:!!Native Hawaiian and Other Pacific Islander alone"
"P2_009NA","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of one race:!!Native Hawaiian and Other Pacific Islander alone"
"P2_010N"," !!Total:!!Not Hispanic or Latino:!!Population of one race:!!Some Other Race alone"
"P2_010NA","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of one race:!!Some Other Race alone"
"P2_011N"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:"
"P2_011NA","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:"
"P2_012N"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:"
"P2_012NA","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:"
"P2_013N"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!White; Black or African American"
"P2_013NA","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!White; Black or African American"
"P2_014N"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!White; American Indian and Alaska Native"
"P2_014NA","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!White; American Indian and Alaska Native"
"P2_015N"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!White; Asian"
"P2_015NA","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!White; Asian"
"P2_016N"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!White; Native Hawaiian and Other Pacific Islander"
"P2_016NA","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!White; Native Hawaiian and Other Pacific Islander"
"P2_017N"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!White; Some Other Race"
"P2_017NA","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!White; Some Other Race"
"P2_018N"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!Black or African American; American Indian and Alaska Native"
"P2_018NA","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!Black or African American; American Indian and Alaska Native"
"P2_019N"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!Black or African American; Asian"
"P2_019NA","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!Black or African American; Asian"
"P2_020N"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!Black or African American; Native Hawaiian and Other Pacific Islander"
"P2_020NA","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!Black or African American; Native Hawaiian and Other Pacific Islander"
