"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"S1101_C01_001E","Estimate!!Total!!HOUSEHOLDS!!Total households"
"S1101_C01_001M","Margin of Error!!Total!!HOUSEHOLDS!!Total households"
"S1101_C01_001MA","Annotation of Margin of Error!!Total!!HOUSEHOLDS!!Total households"
"S1101_C01_001EA","Annotation of Estimate!!Total!!HOUSEHOLDS!!Total households"
"S1101_C01_002E","Estimate!!Total!!HOUSEHOLDS!!Average household size"
"S1101_C01_002EA","Annotation of Estimate!!Total!!HOUSEHOLDS!!Average household size"
"S1101_C01_002M","Margin of Error!!Total!!HOUSEHOLDS!!Average household size"
"S1101_C01_002MA","Annotation of Margin of Error!!Total!!HOUSEHOLDS!!Average household size"
"S1101_C01_003E","Estimate!!Total!!FAMILIES!!Total families"
"S1101_C01_003EA","Annotation of Estimate!!Total!!FAMILIES!!Total families"
"S1101_C01_003M","Margin of Error!!Total!!FAMILIES!!Total families"
"S1101_C01_003MA","Annotation of Margin of Error!!Total!!FAMILIES!!Total families"
"S1101_C01_004E","Estimate!!Total!!FAMILIES!!Average family size"
"S1101_C01_004M","Margin of Error!!Total!!FAMILIES!!Average family size"
"S1101_C01_004MA","Annotation of Margin of Error!!Total!!FAMILIES!!Average family size"
"S1101_C01_004EA","Annotation of Estimate!!Total!!FAMILIES!!Average family size"
"S1101_C01_005E","Estimate!!Total!!AGE OF OWN CHILDREN!!Households with own children of the householder under 18 years"
"S1101_C01_005M","Margin of Error!!Total!!AGE OF OWN CHILDREN!!Households with own children of the householder under 18 years"
"S1101_C01_005MA","Annotation of Margin of Error!!Total!!AGE OF OWN CHILDREN!!Households with own children of the householder under 18 years"
"S1101_C01_005EA","Annotation of Estimate!!Total!!AGE OF OWN CHILDREN!!Households with own children of the householder under 18 years"
"S1101_C01_006E","Estimate!!Total!!AGE OF OWN CHILDREN!!Households with own children of the householder under 18 years!!Under 6 years only"
"S1101_C01_006M","Margin of Error!!Total!!AGE OF OWN CHILDREN!!Households with own children of the householder under 18 years!!Under 6 years only"
"S1101_C01_006MA","Annotation of Margin of Error!!Total!!AGE OF OWN CHILDREN!!Households with own children of the householder under 18 years!!Under 6 years only"
"S1101_C01_006EA","Annotation of Estimate!!Total!!AGE OF OWN CHILDREN!!Households with own children of the householder under 18 years!!Under 6 years only"
"S1101_C01_007E","Estimate!!Total!!AGE OF OWN CHILDREN!!Households with own children of the householder under 18 years!!Under 6 years and 6 to 17 years"
"S1101_C01_007M","Margin of Error!!Total!!AGE OF OWN CHILDREN!!Households with own children of the householder under 18 years!!Under 6 years and 6 to 17 years"
"S1101_C01_007MA","Annotation of Margin of Error!!Total!!AGE OF OWN CHILDREN!!Households with own children of the householder under 18 years!!Under 6 years and 6 to 17 years"
"S1101_C01_007EA","Annotation of Estimate!!Total!!AGE OF OWN CHILDREN!!Households with own children of the householder under 18 years!!Under 6 years and 6 to 17 years"
"S1101_C01_008E","Estimate!!Total!!AGE OF OWN CHILDREN!!Households with own children of the householder under 18 years!!6 to 17 years only"
"S1101_C01_008M","Margin of Error!!Total!!AGE OF OWN CHILDREN!!Households with own children of the householder under 18 years!!6 to 17 years only"
"S1101_C01_008MA","Annotation of Margin of Error!!Total!!AGE OF OWN CHILDREN!!Households with own children of the householder under 18 years!!6 to 17 years only"
"S1101_C01_008EA","Annotation of Estimate!!Total!!AGE OF OWN CHILDREN!!Households with own children of the householder under 18 years!!6 to 17 years only"
"S1101_C01_009E","Estimate!!Total!!Total households"
"S1101_C01_009EA","Annotation of Estimate!!Total!!Total households"
"S1101_C01_009M","Margin of Error!!Total!!Total households"
"S1101_C01_009MA","Annotation of Margin of Error!!Total!!Total households"
"S1101_C01_010E","Estimate!!Total!!Total households!!SELECTED HOUSEHOLDS BY TYPE!!Households with one or more people under 18 years"
"S1101_C01_010EA","Annotation of Estimate!!Total!!Total households!!SELECTED HOUSEHOLDS BY TYPE!!Households with one or more people under 18 years"
"S1101_C01_010M","Margin of Error!!Total!!Total households!!SELECTED HOUSEHOLDS BY TYPE!!Households with one or more people under 18 years"
"S1101_C01_010MA","Annotation of Margin of Error!!Total!!Total households!!SELECTED HOUSEHOLDS BY TYPE!!Households with one or more people under 18 years"
