"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"S1701_C01_001E","Estimate!!Total!!Population for whom poverty status is determined"
"S1701_C01_001EA","Annotation of Estimate!!Total!!Population for whom poverty status is determined"
"S1701_C01_001M","Margin of Error!!Total!!Population for whom poverty status is determined"
"S1701_C01_001MA","Annotation of Margin of Error!!Total!!Population for whom poverty status is determined"
"S1701_C01_002E","Estimate!!Total!!Population for whom poverty status is determined!!AGE!!Under 18 years"
"S1701_C01_002M","Margin of Error!!Total!!Population for whom poverty status is determined!!AGE!!Under 18 years"
"S1701_C01_002MA","Annotation of Margin of Error!!Total!!Population for whom poverty status is determined!!AGE!!Under 18 years"
"S1701_C01_002EA","Annotation of Estimate!!Total!!Population for whom poverty status is determined!!AGE!!Under 18 years"
"S1701_C01_003E","Estimate!!Total!!Population for whom poverty status is determined!!AGE!!Under 18 years!!Under 5 years"
"S1701_C01_003M","Margin of Error!!Total!!Population for whom poverty status is determined!!AGE!!Under 18 years!!Under 5 years"
"S1701_C01_003MA","Annotation of Margin of Error!!Total!!Population for whom poverty status is determined!!AGE!!Under 18 years!!Under 5 years"
"S1701_C01_003EA","Annotation of Estimate!!Total!!Population for whom poverty status is determined!!AGE!!Under 18 years!!Under 5 years"
"S1701_C01_004E","Estimate!!Total!!Population for whom poverty status is determined!!AGE!!Under 18 years!!5 to 17 years"
"S1701_C01_004EA","Annotation of Estimate!!Total!!Population for whom poverty status is determined!!AGE!!Under 18 years!!5 to 17 years"
"S1701_C01_004M","Margin of Error!!Total!!Population for whom poverty status is determined!!AGE!!Under 18 years!!5 to 17 years"
"S1701_C01_004MA","Annotation of Margin of Error!!Total!!Population for whom poverty status is determined!!AGE!!Under 18 years!!5 to 17 years"
"S1701_C01_005E","Estimate!!Total!!Population for whom poverty status is determined!!AGE!!Under 18 years!!Related children of householder under 18 years"
"S1701_C01_005M","Margin of Error!!Total!!Population for whom poverty status is determined!!AGE!!Under 18 years!!Related children of householder under 18 years"
"S1701_C01_005MA","Annotation of Margin of Error!!Total!!Population for whom poverty status is determined!!AGE!!Under 18 years!!Related children of householder under 18 years"
"S1701_C01_005EA","Annotation of Estimate!!Total!!Population for whom poverty status is determined!!AGE!!Under 18 years!!Related children of householder under 18 years"
"S1701_C01_006E","Estimate!!Total!!Population for whom poverty status is determined!!AGE!!18 to 64 years"
"S1701_C01_006M","Margin of Error!!Total!!Population for whom poverty status is determined!!AGE!!18 to 64 years"
"S1701_C01_006MA","Annotation of Margin of Error!!Total!!Population for whom poverty status is determined!!AGE!!18 to 64 years"
"S1701_C01_006EA","Annotation of Estimate!!Total!!Population for whom poverty status is determined!!AGE!!18 to 64 years"
"S1701_C01_007E","Estimate!!Total!!Population for whom poverty status is determined!!AGE!!18 to 64 years!!18 to 34 years"
"S1701_C01_007M","Margin of Error!!Total!!Population for whom poverty status is determined!!AGE!!18 to 64 years!!18 to 34 years"
"S1701_C01_007MA","Annotation of Margin of Error!!Total!!Population for whom poverty status is determined!!AGE!!18 to 64 years!!18 to 34 years"
"S1701_C01_007EA","Annotation of Estimate!!Total!!Population for whom poverty status is determined!!AGE!!18 to 64 years!!18 to 34 years"
"S1701_C01_008E","Estimate!!Total!!Population for whom poverty status is determined!!AGE!!18 to 64 years!!35 to 64 years"
"S1701_C01_008EA","Annotation of Estimate!!Total!!Population for whom poverty status is determined!!AGE!!18 to 64 years!!35 to 64 years"
"S1701_C01_008M","Margin of Error!!Total!!Population for whom poverty status is determined!!AGE!!18 to 64 years!!35 to 64 years"
"S1701_C01_008MA","Annotation of Margin of Error!!Total!!Population for whom poverty status is determined!!AGE!!18 to 64 years!!35 to 64 years"
"S1701_C01_009E","Estimate!!Total!!Population for whom poverty status is determined!!AGE!!60 years and over"
"S1701_C01_009M","Margin of Error!!Total!!Population for whom poverty status is determined!!AGE!!60 years and over"
"S1701_C01_009MA","Annotation of Margin of Error!!Total!!Population for whom poverty status is determined!!AGE!!60 years and over"
"S1701_C01_009EA","Annotation of Estimate!!Total!!Population for whom poverty status is determined!!AGE!!60 years and over"
"S1701_C01_010E","Estimate!!Total!!Population for whom poverty status is determined!!AGE!!65 years and over"
