"GEO_ID","NAME","B08141_001E","B08141_001M","B08141_001MA","B08141_001EA","B08141_002E","B08141_002M","B08141_002MA","B08141_002EA","B08141_003E","B08141_003M","B08141_003MA","B08141_003EA","B08141_004E","B08141_004M","B08141_004MA","B08141_004EA","B08141_005E","B08141_005EA","B08141_005M","B08141_005MA","B08141_006E","B08141_006M","B08141_006MA","B08141_006EA","B08141_007E","B08141_007M","B08141_007MA","B08141_007EA","B08141_008E","B08141_008M","B08141_008MA","B08141_008EA","B08141_009E","B08141_009M","B08141_009MA","B08141_009EA","B08141_010E","B08141_010M","B08141_010MA","B08141_010EA","B08141_011E","B08141_011M","B08141_011MA","B08141_011EA","B08141_012E","B08141_012M","B08141_012MA","B08141_012EA","B08141_013E","B08141_013M","B08141_013MA","B08141_013EA","B08141_014E","B08141_014M","B08141_014MA","B08141_014EA","B08141_015E","B08141_015M","B08141_015MA","B08141_015EA","B08141_016E","B08141_016EA","B08141_016M","B08141_016MA","B08141_017E","B08141_017M","B08141_017MA","B08141_017EA","B08141_018E","B08141_018M","B08141_018MA","B08141_018EA","B08141_019E","B08141_019M","B08141_019MA","B08141_019EA","B08141_020E","B08141_020M","B08141_020MA","B08141_020EA","B08141_021E","B08141_021M","B08141_021MA","B08141_021EA","B08141_022E","B08141_022M","B08141_022MA","B08141_022EA","B08141_023E","B08141_023M","B08141_023MA","B08141_023EA","B08141_024E","B08141_024M","B08141_024MA","B08141_024EA","B08141_025E","B08141_025M","B08141_025MA","B08141_025EA","B08141_026E","B08141_026M","B08141_026MA","B08141_026EA","B08141_027E","B08141_027M","B08141_027MA","B08141_027EA","B08141_028E","B08141_028M","B08141_028MA","B08141_028EA","B08141_029E","B08141_029M","B08141_029MA","B08141_029EA","B08141_030E","B08141_030M","B08141_030MA","B08141_030EA","B08141_031E","B08141_031M","B08141_031MA","B08141_031EA","B08141_032E","B08141_032M","B08141_032MA","B08141_032EA","B08141_033E","B08141_033M","B08141_033MA","B08141_033EA","B08141_034E","B08141_034M","B08141_034MA","B08141_034EA","B08141_035E","B08141_035M","B08141_035MA","B08141_035EA",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Annotation of Estimate!!Total:","Estimate!!Total:!!No vehicle available","Margin of Error!!Total:!!No vehicle available","Annotation of Margin of Error!!Total:!!No vehicle available","Annotation of Estimate!!Total:!!No vehicle available","Estimate!!Total:!!1 vehicle available","Margin of Error!!Total:!!1 vehicle available","Annotation of Margin of Error!!Total:!!1 vehicle available","Annotation of Estimate!!Total:!!1 vehicle available","Estimate!!Total:!!2 vehicles available","Margin of Error!!Total:!!2 vehicles available","Annotation of Margin of Error!!Total:!!2 vehicles available","Annotation of Estimate!!Total:!!2 vehicles available","Estimate!!Total:!!3 or more vehicles available","Annotation of Estimate!!Total:!!3 or more vehicles available","Margin of Error!!Total:!!3 or more vehicles available","Annotation of Margin of Error!!Total:!!3 or more vehicles available","Estimate!!Total:!!Car, truck, or van - drove alone:","Margin of Error!!Total:!!Car, truck, or van - drove alone:","Annotation of Margin of Error!!Total:!!Car, truck, or van - drove alone:","Annotation of Estimate!!Total:!!Car, truck, or van - drove alone:","Estimate!!Total:!!Car, truck, or van - drove alone:!!No vehicle available","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!No vehicle available","Annotation of Margin of Error!!Total:!!Car, truck, or van - drove alone:!!No vehicle available","Annotation of Estimate!!Total:!!Car, truck, or van - drove alone:!!No vehicle available","Estimate!!Total:!!Car, truck, or van - drove alone:!!1 vehicle available","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!1 vehicle available","Annotation of Margin of Error!!Total:!!Car, truck, or van - drove alone:!!1 vehicle available","Annotation of Estimate!!Total:!!Car, truck, or van - drove alone:!!1 vehicle available","Estimate!!Total:!!Car, truck, or van - drove alone:!!2 vehicles available","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!2 vehicles available","Annotation of Margin of Error!!Total:!!Car, truck, or van - drove alone:!!2 vehicles available","Annotation of Estimate!!Total:!!Car, truck, or van - drove alone:!!2 vehicles available","Estimate!!Total:!!Car, truck, or van - drove alone:!!3 or more vehicles available","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!3 or more vehicles available","Annotation of Margin of Error!!Total:!!Car, truck, or van - drove alone:!!3 or more vehicles available","Annotation of Estimate!!Total:!!Car, truck, or van - drove alone:!!3 or more vehicles available","Estimate!!Total:!!Car, truck, or van - carpooled:","Margin of Error!!Total:!!Car, truck, or van - carpooled:","Annotation of Margin of Error!!Total:!!Car, truck, or van - carpooled:","Annotation of Estimate!!Total:!!Car, truck, or van - carpooled:","Estimate!!Total:!!Car, truck, or van - carpooled:!!No vehicle available","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!No vehicle available","Annotation of Margin of Error!!Total:!!Car, truck, or van - carpooled:!!No vehicle available","Annotation of Estimate!!Total:!!Car, truck, or van - carpooled:!!No vehicle available","Estimate!!Total:!!Car, truck, or van - carpooled:!!1 vehicle available","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!1 vehicle available","Annotation of Margin of Error!!Total:!!Car, truck, or van - carpooled:!!1 vehicle available","Annotation of Estimate!!Total:!!Car, truck, or van - carpooled:!!1 vehicle available","Estimate!!Total:!!Car, truck, or van - carpooled:!!2 vehicles available","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!2 vehicles available","Annotation of Margin of Error!!Total:!!Car, truck, or van - carpooled:!!2 vehicles available","Annotation of Estimate!!Total:!!Car, truck, or van - carpooled:!!2 vehicles available","Estimate!!Total:!!Car, truck, or van - carpooled:!!3 or more vehicles available","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!3 or more vehicles available","Annotation of Margin of Error!!Total:!!Car, truck, or van - carpooled:!!3 or more vehicles available","Annotation of Estimate!!Total:!!Car, truck, or van - carpooled:!!3 or more vehicles available","Estimate!!Total:!!Public transportation (excluding taxicab):","Annotation of Estimate!!Total:!!Public transportation (excluding taxicab):","Margin of Error!!Total:!!Public transportation (excluding taxicab):","Annotation of Margin of Error!!Total:!!Public transportation (excluding taxicab):","Estimate!!Total:!!Public transportation (excluding taxicab):!!No vehicle available","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!No vehicle available","Annotation of Margin of Error!!Total:!!Public transportation (excluding taxicab):!!No vehicle available","Annotation of Estimate!!Total:!!Public transportation (excluding taxicab):!!No vehicle available","Estimate!!Total:!!Public transportation (excluding taxicab):!!1 vehicle available","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!1 vehicle available","Annotation of Margin of Error!!Total:!!Public transportation (excluding taxicab):!!1 vehicle available","Annotation of Estimate!!Total:!!Public transportation (excluding taxicab):!!1 vehicle available","Estimate!!Total:!!Public transportation (excluding taxicab):!!2 vehicles available","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!2 vehicles available","Annotation of Margin of Error!!Total:!!Public transportation (excluding taxicab):!!2 vehicles available","Annotation of Estimate!!Total:!!Public transportation (excluding taxicab):!!2 vehicles available","Estimate!!Total:!!Public transportation (excluding taxicab):!!3 or more vehicles available","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!3 or more vehicles available","Annotation of Margin of Error!!Total:!!Public transportation (excluding taxicab):!!3 or more vehicles available","Annotation of Estimate!!Total:!!Public transportation (excluding taxicab):!!3 or more vehicles available","Estimate!!Total:!!Walked:","Margin of Error!!Total:!!Walked:","Annotation of Margin of Error!!Total:!!Walked:","Annotation of Estimate!!Total:!!Walked:","Estimate!!Total:!!Walked:!!No vehicle available","Margin of Error!!Total:!!Walked:!!No vehicle available","Annotation of Margin of Error!!Total:!!Walked:!!No vehicle available","Annotation of Estimate!!Total:!!Walked:!!No vehicle available","Estimate!!Total:!!Walked:!!1 vehicle available","Margin of Error!!Total:!!Walked:!!1 vehicle available","Annotation of Margin of Error!!Total:!!Walked:!!1 vehicle available","Annotation of Estimate!!Total:!!Walked:!!1 vehicle available","Estimate!!Total:!!Walked:!!2 vehicles available","Margin of Error!!Total:!!Walked:!!2 vehicles available","Annotation of Margin of Error!!Total:!!Walked:!!2 vehicles available","Annotation of Estimate!!Total:!!Walked:!!2 vehicles available","Estimate!!Total:!!Walked:!!3 or more vehicles available","Margin of Error!!Total:!!Walked:!!3 or more vehicles available","Annotation of Margin of Error!!Total:!!Walked:!!3 or more vehicles available","Annotation of Estimate!!Total:!!Walked:!!3 or more vehicles available","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:","Annotation of Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:","Annotation of Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!No vehicle available","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!No vehicle available","Annotation of Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!No vehicle available","Annotation of Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!No vehicle available","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!1 vehicle available","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!1 vehicle available","Annotation of Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!1 vehicle available","Annotation of Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!1 vehicle available","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!2 vehicles available","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!2 vehicles available","Annotation of Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!2 vehicles available","Annotation of Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!2 vehicles available","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!3 or more vehicles available","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!3 or more vehicles available","Annotation of Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!3 or more vehicles available","Annotation of Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!3 or more vehicles available","Estimate!!Total:!!Worked from home:","Margin of Error!!Total:!!Worked from home:","Annotation of Margin of Error!!Total:!!Worked from home:","Annotation of Estimate!!Total:!!Worked from home:","Estimate!!Total:!!Worked from home:!!No vehicle available","Margin of Error!!Total:!!Worked from home:!!No vehicle available","Annotation of Margin of Error!!Total:!!Worked from home:!!No vehicle available","Annotation of Estimate!!Total:!!Worked from home:!!No vehicle available","Estimate!!Total:!!Worked from home:!!1 vehicle available","Margin of Error!!Total:!!Worked from home:!!1 vehicle available","Annotation of Margin of Error!!Total:!!Worked from home:!!1 vehicle available","Annotation of Estimate!!Total:!!Worked from home:!!1 vehicle available","Estimate!!Total:!!Worked from home:!!2 vehicles available","Margin of Error!!Total:!!Worked from home:!!2 vehicles available","Annotation of Margin of Error!!Total:!!Worked from home:!!2 vehicles available","Annotation of Estimate!!Total:!!Worked from home:!!2 vehicles available","Estimate!!Total:!!Worked from home:!!3 or more vehicles available","Margin of Error!!Total:!!Worked from home:!!3 or more vehicles available","Annotation of Margin of Error!!Total:!!Worked from home:!!3 or more vehicles available","Annotation of Estimate!!Total:!!Worked from home:!!3 or more vehicles available",
"1600000US0103076","Auburn city, Alabama","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"1600000US0107000","Birmingham city, Alabama","83745","4684","null","null","1884","745","null","null","28081","3355","null","null","30284","3944","null","null","23496","null","3638","null","64254","4593","null","null","663","454","null","null","21466","2853","null","null","22442","3392","null","null","19683","3282","null","null","6756","1786","null","null","687","522","null","null","2364","1099","null","null","2022","980","null","null","1683","744","null","null","518","null","388","null","64","106","null","null","254","316","null","null","200","204","null","null","0","216","null","null","1885","785","null","null","433","384","null","null","672","386","null","null","478","438","null","null","302","302","null","null","531","314","null","null","0","216","null","null","190","178","null","null","341","250","null","null","0","216","null","null","9801","1934","null","null","37","61","null","null","3135","1005","null","null","4801","1250","null","null","1828","1017","null","null",
"1600000US0121184","Dothan city, Alabama","30000","1199","null","null","1147","396","null","null","8003","996","null","null","12837","1298","null","null","8013","null","1124","null","23899","1274","null","null","282","192","null","null","6051","944","null","null","11017","1199","null","null","6549","849","null","null","2821","609","null","null","376","246","null","null","876","309","null","null","1061","393","null","null","508","226","null","null","0","null","216","null","0","216","null","null","0","216","null","null","0","216","null","null","0","216","null","null","404","233","null","null","152","141","null","null","129","107","null","null","40","50","null","null","83","129","null","null","511","255","null","null","255","186","null","null","137","112","null","null","75","80","null","null","44","74","null","null","2365","724","null","null","82","99","null","null","810","541","null","null","644","266","null","null","829","498","null","null",
"1600000US0135896","Hoover city, Alabama","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"1600000US0137000","Huntsville city, Alabama","102720","4179","null","null","2341","1456","null","null","23932","3305","null","null","43257","4209","null","null","33190","null","3699","null","71968","4626","null","null","1015","706","null","null","15928","2984","null","null","31521","3539","null","null","23504","3645","null","null","5893","1740","null","null","0","216","null","null","1018","778","null","null","2124","852","null","null","2751","1334","null","null","75","null","121","null","0","216","null","null","0","216","null","null","0","216","null","null","75","121","null","null","526","512","null","null","0","216","null","null","96","114","null","null","316","532","null","null","114","111","null","null","1476","787","null","null","410","607","null","null","66","109","null","null","309","256","null","null","691","480","null","null","22782","2967","null","null","916","740","null","null","6824","2014","null","null","8987","1895","null","null","6055","1619","null","null",
"1600000US0150000","Mobile city, Alabama","78202","3971","null","null","1996","874","null","null","20300","2873","null","null","32536","3861","null","null","23370","null","3601","null","62443","3556","null","null","745","396","null","null","15767","2245","null","null","26327","3365","null","null","19604","3404","null","null","6350","1743","null","null","456","413","null","null","1710","981","null","null","2515","968","null","null","1669","1001","null","null","150","null","146","null","48","79","null","null","41","67","null","null","61","95","null","null","0","216","null","null","712","543","null","null","229","273","null","null","278","304","null","null","0","216","null","null","205","297","null","null","672","452","null","null","518","432","null","null","52","87","null","null","102","123","null","null","0","216","null","null","7875","1473","null","null","0","216","null","null","2452","982","null","null","3531","1073","null","null","1892","703","null","null",
"1600000US0151000","Montgomery city, Alabama","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"1600000US0177256","Tuscaloosa city, Alabama","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"1600000US0203000","Anchorage municipality, Alaska","141619","4419","null","null","4248","1800","null","null","29593","3258","null","null","62525","5542","null","null","45253","null","5099","null","100315","4988","null","null","1799","1247","null","null","19787","2645","null","null","44582","4219","null","null","34147","4307","null","null","14181","3173","null","null","255","284","null","null","2964","1232","null","null","6485","2441","null","null","4477","1847","null","null","2120","null","1273","null","635","681","null","null","136","152","null","null","681","612","null","null","668","553","null","null","2667","1061","null","null","495","369","null","null","1231","890","null","null","626","391","null","null","315","446","null","null","4066","1133","null","null","428","336","null","null","928","675","null","null","1968","817","null","null","742","477","null","null","18270","2771","null","null","636","432","null","null","4547","1153","null","null","8183","2056","null","null","4904","1608","null","null",
