variable,sum_na
place_code,0
city,0
state,0
pop_estimate_2021,0
state_code,0
city_state,0
city_state_code,0
place_state_code,0
geo_code,1
land_area_sqkm,1
pop_per_km2,1
county_state,0
median_age,188
male,188
female,188
white_alone,1
black_or_african_american_alone,1
american_indian_and_alaska_native_alone,1
asian_alone,1
native_hawaiian_and_other_pacific_islander_alone,1
some_other_race_alone,1
two_or_more_races,1
hispanic_or_latino,1
access2,0
arthritis,0
binge,0
bphigh,16
bpmed,16
cancer,0
casthma,0
cervical,0
chd,0
checkup,0
cholscreen,16
colon_screen,0
copd,0
corem,0
corew,0
csmoking,0
dental,0
depression,0
diabetes,0
ghlth,0
highchol,16
kidney,0
lpa,0
mammouse,0
mhlth,0
obesity,0
phlth,0
sleep,0
stroke,0
teethlost,0
cumulative_confirmed,0
cumulative_deceased,0
walk_score,0
bike_score,0
households,189
mean_household_income,189
mean_income,188
median_household_income,188
living_wage,1
poverty,188
median_aqi,47
violent_crime,120
property_crime,120
