city,state_code,walk_score,bike_score
Auburn,AL,28,38
Birmingham,AL,33,31
Decatur,AL,25,40
Dothan,AL,22,31
Hoover,AL,17,12
Huntsville,AL,24,40
Madison,AL,17,34
Mobile,AL,32,34
Montgomery,AL,26,33
Tuscaloosa,AL,33,37
Avondale,AZ,26,52
Buckeye,AZ,14,33
Casa Grande,AZ,27,45
Chandler,AZ,35,55
Flagstaff,AZ,39,65
Glendale,AZ,40,57
Goodyear,AZ,17,42
Lake Havasu City,AZ,15,29
Maricopa,AZ,13,38
Mesa,AZ,38,60
Peoria,AZ,30,47
Phoenix,AZ,41,56
Scottsdale,AZ,32,56
Surprise,AZ,21,46
Tempe,AZ,54,75
Tucson,AZ,43,66
Yuma,AZ,34,51
Bentonville,AR,24,41
Conway,AR,25,37
Fayetteville,AR,32,50
Fort Smith,AR,35,38
Jonesboro,AR,23,30
Little Rock,AR,33,32
North Little Rock,AR,32,31
Rogers,AR,20,43
Springdale,AR,27,39
Alameda,CA,68,77
Alhambra,CA,71,49
Aliso Viejo,CA,35,34
Anaheim,CA,56,52
Antioch,CA,41,42
Arcadia,CA,54,47
Bakersfield,CA,37,44
Baldwin Park,CA,55,50
Beaumont,CA,25,31
Bellflower,CA,66,60
Berkeley,CA,85,83
Brentwood,CA,38,50
Buena Park,CA,57,54
Burbank,CA,71,62
Camarillo,CA,43,46
Carlsbad,CA,31,29
Carson,CA,55,51
Cathedral City,CA,38,43
Chico,CA,49,69
Chino,CA,44,46
Chino Hills,CA,23,20
Chula Vista,CA,46,41
Citrus Heights,CA,43,46
Clovis,CA,37,51
Colton,CA,43,45
Compton,CA,65,60
Concord,CA,49,53
Corona,CA,39,35
Costa Mesa,CA,65,66
Covina,CA,59,48
Cupertino,CA,48,65
Daly City,CA,66,34
Davis,CA,50,90
Delano,CA,35,37
Diamond Bar,CA,30,16
Downey,CA,61,53
Dublin,CA,36,56
Eastvale,CA,24,33
El Cajon,CA,61,45
Elk Grove,CA,32,45
El Monte,CA,62,57
Encinitas,CA,43,35
Escondido,CA,45,40
Fairfield,CA,37,42
Folsom,CA,31,54
Fontana,CA,37,41
Fountain Valley,CA,56,66
Fremont,CA,50,54
Fresno,CA,47,58
Fullerton,CA,54,47
Gardena,CA,75,56
