place_code,city,state,pop_estimate_2021,state_code,city_state,city_state_code,place_state_code,geo_code,land_area_sqkm,pop_per_km2,county_state,median_age,male,female,white_alone,black_or_african_american_alone,american_indian_and_alaska_native_alone,asian_alone,native_hawaiian_and_other_pacific_islander_alone,some_other_race_alone,two_or_more_races,hispanic_or_latino,access2,arthritis,binge,bphigh,bpmed,cancer,casthma,cervical,chd,checkup,cholscreen,colon_screen,copd,corem,corew,csmoking,dental,depression,diabetes,ghlth,highchol,kidney,lpa,mammouse,mhlth,obesity,phlth,sleep,stroke,teethlost,cumulative_confirmed,cumulative_deceased,walk_score,bike_score,drive_commute,public_transit_commute,walk_commute,bike_commute,work_from_home,households,mean_household_income,mean_income,median_household_income,living_wage,poverty,unemployment_rate,median_aqi,violent_crime,property_crime,walkable,walkable_detail,aqi_concern_level
3076,Auburn,Alabama,78564,AL,"Auburn, Alabama","Auburn, AL",3076AL,103076,157.084761,500.13762951837197,"Lee, Alabama",27.8,0.48318568301003006,0.5166615752762079,0.6226515961509088,0.17831322234102134,0.003029377322946897,0.09436892215263988,0.0004836820935797566,0.020327376406496615,0.05001018278091747,0.0460643551753984,14.649999999999999,26.45,16.05,37.05,69.45,5.75,9.649999999999999,82.95,6.15,76.55000000000001,86.75,72.85,7.1,41.7,43.35,16.2,66.55,25.1,11.100000000000001,17.049999999999997,31.8,2.9,24.299999999999997,74.1,16.0,36.0,10.600000000000001,35.849999999999994,3.1,11.85,0.48225650425131106,0.004340410366070974,28,38,,,,,,0.370856881014205,79325,29770,48531,32556.0,0.2319255638714933,,,,,Car Dependent,Car Dependent,Good
7000,Birmingham,Alabama,197575,AL,"Birmingham, Alabama","Birmingham, AL",7000AL,107000,380.801025,518.8405152008191,"Jefferson, Alabama",37.2,0.4792914083259522,0.5148120966721498,0.2389421738580286,0.6949057320005061,0.00382133367075794,0.01657598380361888,0.000622548399342022,0.027128938377831202,0.03398709350879413,0.04693913703656839,15.45,28.5,13.8,38.900000000000006,71.65,6.199999999999999,9.75,86.7,6.65,77.95,89.3,78.9,7.050000000000001,44.65,40.5,15.850000000000001,63.25,22.450000000000003,12.85,17.8,30.25,3.2,25.1,80.55,15.15,38.849999999999994,10.35,37.7,3.55,12.1,0.6407755614066528,0.00817813374505452,33,31,83.6,0.9,2.8,0.1,12,0.4432240921169176,58012,27211,36614,36193.0,0.2707123877008731,7.4,51.0,,,Car Dependent,Car Dependent,Moderate
20104,Decatur,Alabama,57804,AL,"Decatur, Alabama","Decatur, AL",20104AL,120104,140.78562399999998,410.5816940513756,"Morgan, Alabama",,,,0.5741817175281987,0.2325271607501211,0.007490831084354024,0.009186215486817521,0.0009687910871219985,0.10350494775448066,0.07445851498166217,0.15690955643208082,17.65,31.25,15.399999999999999,37.4,69.45,6.7,9.75,83.15,7.6,75.4,86.95,71.25,8.95,39.55,44.6,20.35,61.0,26.4,12.5,19.450000000000003,33.8,3.2,28.6,73.8,16.8,40.150000000000006,12.25,37.849999999999994,3.5999999999999996,14.0,0.6256833437132379,0.008961317555878485,25,40,,,,,,,,,,31259.0,,,39.0,,,Car Dependent,Car Dependent,Good
21184,Dothan,Alabama,71175,AL,"Dothan, Alabama","Dothan, AL",21184AL,121184,232.65056199999998,305.93091797474364,"Houston, Alabama",40.5,0.47356515630488233,0.5279522304179839,0.5689638215665613,0.3357358623112048,0.004004214963119073,0.016030909729539865,0.0006603442219880576,0.0202880224798033,0.052869687390235336,0.043990165086055494,17.15,29.85,13.399999999999999,43.45,70.35,6.65,10.1,83.85,7.550000000000001,77.65,87.65,74.35,8.7,44.15,35.9,20.1,58.45,26.35,12.7,20.65,33.95,3.4000000000000004,32.65,71.25,16.85,39.1,12.3,39.9,3.95,14.2,0.3624868282402529,0.007109237794169301,22,31,89.1,0,1.3,0.1,7.9,0.4257253249034071,70513,31168,45088,31803.0,0.20993326308394802,5.3,,,,Car Dependent,Very Car Dependent,Good
35896,Hoover,Alabama,92589,AL,"Hoover, Alabama","Hoover, AL",35896AL,135896,124.49062599999999,743.7427457389443,"Jefferson, Alabama",38.9,0.5040663577746817,0.49592284180626206,0.6875978787976974,0.1687133460778278,0.002743306440289883,0.06403568458456188,0.00021600838112518765,0.020952812969143204,0.055924569873311084,0.05080517124064414,15.45,28.5,13.8,38.900000000000006,71.65,6.199999999999999,9.75,86.7,6.65,77.95,89.3,78.9,7.050000000000001,44.65,40.5,15.850000000000001,63.25,22.450000000000003,12.85,17.8,30.25,3.2,25.1,80.55,15.15,38.849999999999994,10.35,37.7,3.55,12.1,0.6407755614066528,0.00817813374505452,17,12,,,,,,0.3966021881649008,124562,50046,99276,36193.0,0.05981272073356446,3.5,51.0,0.0012312477724135697,0.020758405426130534,Car Dependent,Very Car Dependent,Moderate
37000,Huntsville,Alabama,216963,AL,"Huntsville, Alabama","Huntsville, AL",37000AL,137000,564.925108,384.05621723578975,"Madison, Alabama",38.0,0.49272917502062563,0.5004447762982628,0.5608191258417334,0.2907638629628093,0.006586376478938805,0.025207062955434796,0.001345851596816047,0.03386752579932984,0.07239022321778368,0.07682876803879002,13.600000000000001,27.1,15.3,36.7,70.7,6.300000000000001,9.25,85.15,5.949999999999999,76.1,89.25,77.19999999999999,6.4,45.2,44.75,15.5,65.15,23.25,11.2,15.3,31.450000000000003,2.8,22.75,76.05000000000001,14.95,35.25,9.55,38.400000000000006,2.95,9.2,0.3283270376289409,0.0035159087607148044,24,40,75.5,0.1,0.9,0.1,22.1,0.44501136138419917,95849,42232,70757,32540.0,0.1258048607366233,3.9,41.0,,,Car Dependent,Very Car Dependent,Good
45784,Madison,Alabama,58357,AL,"Madison, Alabama","Madison, AL",45784AL,145784,78.636371,742.1120692357484,"Madison, Alabama",,,,0.649964871395034,0.14488407560361224,0.004541014788285895,0.0760320098702812,0.0013023287694706718,0.018900903062186197,0.07997326798841613,0.056342855184468014,13.600000000000001,27.1,15.3,36.7,70.7,6.300000000000001,9.25,85.15,5.949999999999999,76.1,89.25,77.19999999999999,6.4,45.2,44.75,15.5,65.15,23.25,11.2,15.3,31.450000000000003,2.8,22.75,76.05000000000001,14.95,35.25,9.55,38.400000000000006,2.95,9.2,0.3283270376289409,0.0035159087607148044,17,34,,,,,,,,,,32540.0,,,41.0,,,Car Dependent,Very Car Dependent,Good
50000,Mobile,Alabama,184952,AL,"Mobile, Alabama","Mobile, AL",50000AL,150000,361.255557,511.9699791912128,"Mobile, Alabama",37.8,0.47621545049526365,0.52382780397076,0.41240429949392277,0.5192644578052684,0.0033305938838185042,0.018318266361001773,0.0006163761408365414,0.013744106579004283,0.04361672217656473,0.032624680998313074,17.9,31.099999999999998,14.850000000000001,41.0,71.95,6.3,10.25,83.94999999999999,7.4,76.0,87.75,72.75,8.3,40.35,39.1,20.049999999999997,58.599999999999994,23.55,13.85,20.35,34.4,3.4000000000000004,28.200000000000003,74.75,16.549999999999997,39.349999999999994,12.35,40.1,3.95,15.350000000000001,0.6125913750594749,0.00893745404212985,32,34,87.8,0.2,1.1,0.1,10.1,0.4216823824559886,65593,28706,43786,33389.0,0.21293632942601323,7.8,44.0,,,Car Dependent,Car Dependent,Good
51000,Montgomery,Alabama,198665,AL,"Montgomery, Alabama","Montgomery, AL",51000AL,151000,414.027223,479.83559767034933,"Montgomery, Alabama",36.1,0.46800392620743464,0.5319658721969144,0.29515516069765685,0.6088138323308081,0.0035889562831902953,0.03628721717464073,0.0006493343064958598,0.02893816223290464,0.03632245236956686,0.04866987139153852,17.25,30.9,12.5,43.85,71.4,5.85,10.649999999999999,84.8,6.9,79.05,89.44999999999999,73.95,7.4,42.25,35.650000000000006,16.95,61.75,22.1,15.25,20.700000000000003,32.15,3.45,31.25,78.35,16.1,48.85,11.65,42.05,4.0,13.9,0.27843857750484485,0.004771852112853295,26,33,90.4,0.1,1.2,0,7.5,0.4103843153046586,65160,27253,46957,33357.0,0.23103213953137192,8.6,37.0,,,Car Dependent,Car Dependent,Good
77256,Tuscaloosa,Alabama,100618,AL,"Tuscaloosa, Alabama","Tuscaloosa, AL",77256AL,177256,160.313457,627.6329004619993,"Tuscaloosa, Alabama",29.4,0.4750839809974359,0.5247967560476257,0.48165338209863046,0.4079389373670715,0.002912003816414558,0.023474924963724185,0.0005168061380667475,0.02077163131845197,0.05261484028702618,0.05404599574628794,15.95,27.6,16.35,39.2,68.75,5.75,10.1,83.5,6.35,75.9,87.25,72.85,7.25,45.35,41.45,17.6,63.75,24.450000000000003,11.55,17.6,31.549999999999997,2.95,28.7,75.94999999999999,17.0,40.8,11.15,39.650000000000006,3.25,12.45,0.5595519688326145,0.007811723548470453,33,37,87.7,0,1.6,0.6,8.8,0.3902482657178636,70595,29062,41770,34174.0,0.1881174342562961,6.4,31.0,,,Car Dependent,Car Dependent,Good
