state_territory,population_2020,land_area_sqmi,population_density,oneadult_nokids,oneadult_onekid,oneadult_twokids,oneadult_threekids,twoadults_oneworking_nokids,twoadults_oneworking_onekid,twoadults_oneworking_twokids,twoadults_oneworking_threekids,twoadults_bothworking_nokids,twoadults_bothworking_onekid,twoadults_bothworking_twokids,twoadults_bothworking_threekids
Alabama,5024279,50645.33,99.21,13.77,27.06,33.09,42.01,22.30,26.44,30.04,31.99,11.15,14.92,18.42,21.09
Alaska,733391,570640.95,1.29,15.06,29.86,37.09,48.86,23.38,28.12,31.66,35.57,11.69,16.34,20.40,24.64
Arizona,7151502,113594.08,62.96,14.94,29.01,35.11,45.59,24.30,28.69,32.42,36.13,12.15,15.99,19.51,23.01
Arkansas,3011524,52035.48,57.87,13.29,28.23,34.85,44.48,22.50,27.15,30.85,32.89,11.25,15.54,19.35,22.33
California,39538223,155779.22,253.81,18.66,40.34,50.00,66.02,30.26,36.85,40.83,46.49,15.13,21.76,27.08,33.24
Colorado,5773714,103641.89,55.71,16.35,34.31,43.22,57.02,25.82,31.19,34.94,39.14,12.91,18.65,23.57,28.73
Connecticut,3605944,4842.36,744.67,15.98,33.11,41.28,53.50,25.51,30.48,34.13,37.21,12.75,17.98,22.55,27.00
Delaware,989948,1948.54,508.05,15.32,32.17,39.67,50.91,24.66,30.18,33.85,36.62,12.33,17.50,21.75,25.54
District of Columbia,689545,61.05,11294.76,20.12,38.48,47.89,62.25,29.77,34.71,38.48,42.43,14.88,20.69,25.90,31.21
Florida,21538187,53624.76,401.65,14.82,30.92,38.04,49.08,23.97,28.88,32.28,35.30,11.99,16.77,20.79,24.62
Georgia,10711908,57513.49,186.25,15.36,29.63,36.13,45.92,24.12,28.58,32.23,34.54,12.06,16.22,19.97,23.05
Hawaii,1455271,6422.63,226.58,19.43,38.57,46.74,62.26,30.13,36.48,40.40,47.06,15.06,20.85,25.42,31.36
Idaho,1839106,82643.12,22.25,13.95,27.94,34.47,44.75,23.34,27.41,31.29,34.34,11.67,15.52,19.27,22.60
Illinois,12812508,55518.93,230.78,15.37,31.16,38.88,49.98,24.57,28.87,32.53,34.93,12.29,16.98,21.34,25.08
Indiana,6785528,35826.11,189.40,13.44,27.23,33.24,42.20,22.16,26.55,30.14,32.13,11.08,14.99,18.49,21.19
Iowa,3190369,55857.13,57.12,13.62,29.18,36.96,47.61,23.13,27.52,31.31,33.94,11.57,16.04,20.48,23.90
Kansas,2937880,81758.72,35.93,13.51,28.39,35.17,45.15,22.54,27.03,30.66,32.90,11.27,15.59,19.48,22.67
Kentucky,4505836,39486.34,114.11,13.48,28.25,35.31,45.52,22.18,26.64,30.28,32.37,11.09,15.53,19.60,22.85
Louisiana,4657757,43203.90,107.81,14.06,29.61,36.18,45.82,23.28,28.51,32.16,34.26,11.64,16.21,19.99,23.00
Maine,1362359,30842.92,44.17,14.92,30.63,38.33,49.37,23.88,28.65,32.41,35.08,11.94,16.79,21.14,24.94
Maryland,6177224,9707.24,636.35,17.25,34.74,43.05,55.78,26.66,31.82,35.41,38.70,13.33,18.75,23.40,27.97
Massachusetts,7029917,7800.06,901.26,17.74,36.88,47.64,62.51,26.24,31.31,34.72,38.23,13.12,19.78,25.61,31.49
Michigan,10077331,56538.90,178.24,13.63,31.15,41.65,55.25,22.20,26.03,29.66,31.79,11.10,16.96,22.71,27.72
Minnesota,5706494,79626.74,71.67,14.90,31.33,39.42,51.50,24.63,29.21,32.96,36.23,12.32,17.10,21.68,25.85
Mississippi,2961279,46923.27,63.11,13.43,26.74,32.39,40.85,22.57,26.48,30.09,31.95,11.28,14.75,18.07,20.51
