city_state,sum_na
"Auburn, Alabama",1
"Birmingham, Alabama",0
"Decatur, Alabama",0
"Dothan, Alabama",1
"Hoover, Alabama",0
"Huntsville, Alabama",0
"Madison, Alabama",0
"Mobile, Alabama",0
"Montgomery, Alabama",0
"Tuscaloosa, Alabama",0
"Avondale, Arizona",0
"Buckeye, Arizona",0
"Casa Grande, Arizona",0
"Chandler, Arizona",0
"Flagstaff, Arizona",0
"Glendale, Arizona",0
"Goodyear, Arizona",0
"Lake Havasu City, Arizona",0
"Maricopa, Arizona",0
"Mesa, Arizona",0
"Peoria, Arizona",0
"Phoenix, Arizona",0
"Scottsdale, Arizona",0
"Surprise, Arizona",0
"Tempe, Arizona",0
"Tucson, Arizona",0
"Yuma, Arizona",0
"Bentonville, Arkansas",1
"Conway, Arkansas",1
"Fayetteville, Arkansas",0
"Fort Smith, Arkansas",1
"Jonesboro, Arkansas",1
"Little Rock, Arkansas",0
"North Little Rock, Arkansas",0
"Rogers, Arkansas",1
"Springdale, Arkansas",0
"Alameda, California",0
"Alhambra, California",0
"Aliso Viejo, California",0
"Anaheim, California",0
"Antioch, California",0
"Arcadia, California",0
"Bakersfield, California",0
"Baldwin Park, California",0
"Beaumont, California",0
"Bellflower, California",0
"Berkeley, California",0
"Brentwood, California",0
"Buena Park, California",0
"Burbank, California",0
"Camarillo, California",0
"Carlsbad, California",0
"Carson, California",0
"Cathedral City, California",0
"Chico, California",0
"Chino, California",0
"Chino Hills, California",0
"Chula Vista, California",0
"Citrus Heights, California",0
"Clovis, California",0
"Colton, California",0
"Compton, California",0
"Concord, California",0
"Corona, California",0
"Costa Mesa, California",0
"Covina, California",0
"Cupertino, California",0
"Daly City, California",0
"Davis, California",0
"Delano, California",0
"Diamond Bar, California",0
"Downey, California",0
"Dublin, California",0
"Eastvale, California",0
"El Cajon, California",0
"Elk Grove, California",0
"El Monte, California",0
"Encinitas, California",0
"Escondido, California",0
"Fairfield, California",0
"Folsom, California",0
"Fontana, California",0
"Fountain Valley, California",0
"Fremont, California",0
"Fresno, California",0
"Fullerton, California",0
"Gardena, California",0
"Garden Grove, California",0
"Gilroy, California",0
"Glendale, California",0
"Glendora, California",0
"Hanford, California",0
"Hawthorne, California",0
"Hayward, California",0
"Hemet, California",0
"Hesperia, California",0
"Highland, California",0
"Huntington Beach, California",0
"Huntington Park, California",0
"Indio, California",0
"Inglewood, California",0
"Irvine, California",0
"Jurupa Valley, California",0
"Laguna Niguel, California",0
"La Habra, California",0
"Lake Elsinore, California",0
"Lake Forest, California",0
"Lakewood, California",0
"La Mesa, California",0
"Lancaster, California",0
"Lincoln, California",0
"Livermore, California",0
"Lodi, California",0
"Long Beach, California",0
"Los Angeles, California",0
"Lynwood, California",0
"Madera, California",0
"Manteca, California",0
"Menifee, California",0
"Merced, California",0
"Milpitas, California",0
"Mission Viejo, California",0
"Modesto, California",0
"Montebello, California",0
"Monterey Park, California",0
"Moreno Valley, California",0
"Mountain View, California",0
"Murrieta, California",0
"Napa, California",0
"National City, California",0
"Newport Beach, California",0
"Norwalk, California",0
"Novato, California",0
"Oakland, California",0
"Oceanside, California",0
"Ontario, California",0
"Orange, California",0
"Oxnard, California",0
"Palmdale, California",0
"Palm Desert, California",0
"Palo Alto, California",0
"Paramount, California",0
"Pasadena, California",0
"Perris, California",0
"Petaluma, California",0
"Pico Rivera, California",0
"Pittsburg, California",0
"Placentia, California",0
"Pleasanton, California",0
"Pomona, California",0
"Porterville, California",0
"Rancho Cordova, California",0
"Rancho Cucamonga, California",0
"Redding, California",0
"Redlands, California",0
"Redondo Beach, California",0
"Redwood City, California",0
"Rialto, California",0
"Richmond, California",0
"Riverside, California",0
"Rocklin, California",0
"Rosemead, California",0
"Roseville, California",0
"Sacramento, California",0
"Salinas, California",0
"San Bernardino, California",0
"San Buenaventura (Ventura), California",0
"San Clemente, California",0
"San Diego, California",0
"San Jacinto, California",0
"San Jose, California",0
"San Leandro, California",0
"San Marcos, California",0
"San Mateo, California",0
"San Rafael, California",0
"San Ramon, California",0
"Santa Ana, California",0
"Santa Barbara, California",0
"Santa Clara, California",0
"Santa Clarita, California",0
"Santa Cruz, California",0
"Santa Maria, California",0
"Santa Monica, California",0
"Santa Rosa, California",0
"Santee, California",0
"Simi Valley, California",0
"South Gate, California",0
"South San Francisco, California",0
"Stockton, California",0
"Sunnyvale, California",0
"Temecula, California",0
"Thousand Oaks, California",0
"Torrance, California",0
"Tracy, California",0
"Tulare, California",0
"Turlock, California",0
