city_state,sum_na
"Auburn, Alabama",9
"Birmingham, Alabama",2
"Decatur, Alabama",16
"Dothan, Alabama",3
"Hoover, Alabama",5
"Huntsville, Alabama",2
"Madison, Alabama",16
"Mobile, Alabama",2
"Montgomery, Alabama",2
"Tuscaloosa, Alabama",2
"Avondale, Arizona",5
"Buckeye, Arizona",6
"Casa Grande, Arizona",16
"Chandler, Arizona",0
"Flagstaff, Arizona",0
"Glendale, Arizona",0
"Goodyear, Arizona",0
"Lake Havasu City, Arizona",14
"Maricopa, Arizona",14
"Mesa, Arizona",0
"Peoria, Arizona",0
"Phoenix, Arizona",0
"Scottsdale, Arizona",0
"Surprise, Arizona",0
"Tempe, Arizona",0
"Tucson, Arizona",0
"Yuma, Arizona",5
"Bentonville, Arkansas",15
"Conway, Arkansas",7
"Fayetteville, Arkansas",0
"Fort Smith, Arkansas",6
"Jonesboro, Arkansas",6
"Little Rock, Arkansas",0
"North Little Rock, Arkansas",14
"Rogers, Arkansas",6
"Springdale, Arkansas",7
"Alameda, California",0
"Alhambra, California",0
"Aliso Viejo, California",14
"Anaheim, California",0
"Antioch, California",0
"Arcadia, California",14
"Bakersfield, California",0
"Baldwin Park, California",0
"Beaumont, California",14
"Bellflower, California",0
"Berkeley, California",0
"Brentwood, California",14
"Buena Park, California",5
"Burbank, California",5
"Camarillo, California",0
"Carlsbad, California",5
"Carson, California",0
"Cathedral City, California",14
"Chico, California",0
"Chino, California",5
"Chino Hills, California",5
"Chula Vista, California",0
"Citrus Heights, California",5
"Clovis, California",5
"Colton, California",14
"Compton, California",0
"Concord, California",0
"Corona, California",0
"Costa Mesa, California",0
"Covina, California",14
"Cupertino, California",14
"Daly City, California",0
"Davis, California",0
"Delano, California",14
"Diamond Bar, California",14
"Downey, California",0
"Dublin, California",6
"Eastvale, California",8
"El Cajon, California",0
"Elk Grove, California",0
"El Monte, California",0
"Encinitas, California",14
"Escondido, California",0
"Fairfield, California",0
"Folsom, California",5
"Fontana, California",0
"Fountain Valley, California",14
"Fremont, California",0
"Fresno, California",2
"Fullerton, California",0
"Gardena, California",14
"Garden Grove, California",0
"Gilroy, California",14
"Glendale, California",0
"Glendora, California",14
"Hanford, California",14
"Hawthorne, California",0
"Hayward, California",0
"Hemet, California",5
"Hesperia, California",5
"Highland, California",14
"Huntington Beach, California",0
"Huntington Park, California",14
"Indio, California",5
"Inglewood, California",0
"Irvine, California",0
"Jurupa Valley, California",0
"Laguna Niguel, California",14
"La Habra, California",14
"Lake Elsinore, California",6
"Lake Forest, California",5
"Lakewood, California",5
"La Mesa, California",14
"Lancaster, California",0
"Lincoln, California",14
"Livermore, California",0
"Lodi, California",5
"Long Beach, California",0
"Los Angeles, California",0
"Lynwood, California",0
"Madera, California",5
"Manteca, California",5
"Menifee, California",5
"Merced, California",5
"Milpitas, California",0
"Mission Viejo, California",5
"Modesto, California",0
"Montebello, California",14
"Monterey Park, California",14
"Moreno Valley, California",0
"Mountain View, California",0
"Murrieta, California",5
"Napa, California",5
"National City, California",14
"Newport Beach, California",5
"Norwalk, California",0
"Novato, California",14
"Oakland, California",0
"Oceanside, California",0
"Ontario, California",0
"Orange, California",0
"Oxnard, California",0
"Palmdale, California",0
"Palm Desert, California",14
"Palo Alto, California",0
"Paramount, California",14
"Pasadena, California",0
"Perris, California",5
"Petaluma, California",14
"Pico Rivera, California",14
"Pittsburg, California",0
"Placentia, California",14
"Pleasanton, California",5
"Pomona, California",0
"Porterville, California",14
"Rancho Cordova, California",5
"Rancho Cucamonga, California",0
"Redding, California",2
"Redlands, California",5
"Redondo Beach, California",5
"Redwood City, California",0
"Rialto, California",5
"Richmond, California",0
"Riverside, California",0
"Rocklin, California",5
"Rosemead, California",14
"Roseville, California",0
"Sacramento, California",0
"Salinas, California",0
"San Bernardino, California",0
"San Buenaventura (Ventura), California",2
"San Clemente, California",14
"San Diego, California",0
"San Francisco, California",34
"San Jacinto, California",14
"San Jose, California",0
"San Leandro, California",0
"San Marcos, California",5
"San Mateo, California",0
"San Rafael, California",14
"San Ramon, California",5
"Santa Ana, California",0
"Santa Barbara, California",0
"Santa Clara, California",0
"Santa Clarita, California",0
"Santa Cruz, California",14
"Santa Maria, California",2
"Santa Monica, California",0
"Santa Rosa, California",0
"Santee, California",14
"Simi Valley, California",0
"South Gate, California",0
"South San Francisco, California",14
"Stockton, California",0
"Sunnyvale, California",0
"Temecula, California",0
"Thousand Oaks, California",5
"Torrance, California",0
"Tracy, California",5
"Tulare, California",5
"Turlock, California",5
"Tustin, California",0
"Union City, California",0
"Upland, California",0
"Vacaville, California",5
"Vallejo, California",0
"Victorville, California",5
"Visalia, California",5
"Vista, California",0
"Walnut Creek, California",0
"Watsonville, California",14
"West Covina, California",0
"Westminster, California",0
"West Sacramento, California",14
"Whittier, California",0
"Woodland, California",14
"Yorba Linda, California",5
"Yuba City, California",5
"Yucaipa, California",14
"Arvada, Colorado",0
"Aurora, Colorado",0
"Boulder, Colorado",0
"Broomfield, Colorado",34
"Centennial, Colorado",2
"Colorado Springs, Colorado",0
"Commerce City, Colorado",14
"Denver, Colorado",34
"Fort Collins, Colorado",0
"Grand Junction, Colorado",0
"Greeley, Colorado",0
"Lakewood, Colorado",2
"Longmont, Colorado",5
"Loveland, Colorado",5
"Pueblo, Colorado",2
"Thornton, Colorado",0
"Westminster, Colorado",34
"Bridgeport, Connecticut",0
"Bristol, Connecticut",14
"Danbury, Connecticut",0
"Hartford, Connecticut",0
"Meriden, Connecticut",14
"Milford (balance), Connecticut",16
"New Britain, Connecticut",7
"New Haven, Connecticut",0
"Norwalk, Connecticut",0
"Stamford, Connecticut",0
"Waterbury, Connecticut",0
"West Haven, Connecticut",14
"Milford, Connecticut",25
"Wilmington, Delaware",0
"Washington, District of Columbia",34
"Apopka, Florida",14
"Boca Raton, Florida",0
"Bonita Springs, Florida",16
"Boynton Beach, Florida",5
"Bradenton, Florida",14
"Cape Coral, Florida",0
"Clearwater, Florida",0
"Coconut Creek, Florida",14
"Coral Springs, Florida",0
"Daytona Beach, Florida",0
"Deerfield Beach, Florida",0
"Delray Beach, Florida",6
"Deltona, Florida",2
"Doral, Florida",0
"Fort Lauderdale, Florida",0
"Fort Myers, Florida",5
"Gainesville, Florida",34
"Hialeah, Florida",0
"Hollywood, Florida",0
"Homestead, Florida",5
"Jacksonville, Florida",0
"Kissimmee, Florida",5
"Lakeland, Florida",0
"Largo, Florida",5
"Lauderhill, Florida",5
"Margate, Florida",14
"Melbourne, Florida",5
"Miami, Florida",0
"Miami Beach, Florida",0
"Miami Gardens, Florida",0
"Miramar, Florida",5
"North Miami, Florida",14
"North Port, Florida",6
"Ocala, Florida",14
"Orlando, Florida",0
"Palm Bay, Florida",0
"Palm Beach Gardens, Florida",14
"Palm Coast, Florida",7
"Pembroke Pines, Florida",5
"Pensacola, Florida",14
"Pinellas Park, Florida",14
"Plantation, Florida",5
"Pompano Beach, Florida",0
"Port Orange, Florida",14
"Port St. Lucie, Florida",5
"St. Cloud, Florida",14
"St. Petersburg, Florida",0
"Sanford, Florida",14
"Sarasota, Florida",14
"Sunrise, Florida",0
"Tallahassee, Florida",0
"Tamarac, Florida",6
"Tampa, Florida",0
"Weston, Florida",5
"West Palm Beach, Florida",0
"Winter Haven, Florida",14
"Albany, Georgia",5
"Alpharetta, Georgia",6
"Atlanta, Georgia",2
"Brookhaven, Georgia",14
"Columbus, Georgia",2
"Dunwoody, Georgia",14
"Johns Creek, Georgia",7
"Marietta, Georgia",14
"Roswell, Georgia",8
"Sandy Springs, Georgia",5
"Savannah, Georgia",2
"Smyrna, Georgia",16
"South Fulton, Georgia",8
"Stonecrest, Georgia",50
"Valdosta, Georgia",16
"Warner Robins, Georgia",5
"Boise City, Idaho",2
"Caldwell, Idaho",14
"Coeur d'Alene, Idaho",14
"Idaho Falls, Idaho",5
"Meridian, Idaho",6
"Nampa, Idaho",1
"Pocatello, Idaho",14
"Twin Falls, Idaho",14
"Aurora, Illinois",0
"Berwyn, Illinois",15
"Bloomington, Illinois",0
